序号	分类目	昆虫名称	共生体分类属	共生体名称	功能
RISB0780	Diptera	Delia antiqua	None	bacterial communities	bacterial blocked B. bassiana conidia and stabilized the associated microbiota of D. antiqua larvae during B. bassiana invasion
RISB0781	Lepidoptera	Samia ricini	Bacillus	Bacillus sp.	cellulolytic activity
RISB0782	Lepidoptera	Samia ricini	Bacillus	Bacillus	have cellulolytic activity
RISB0783	Lepidoptera	Samia ricini	Enterococcus	Enterococcus sp.	cellulolytic activity
RISB0784	Lepidoptera	Samia ricini	Enterococcus	Enterococcus	have cellulolytic activity
RISB0785	Lepidoptera	Samia ricini	Pseudomonas	Pseudomonas sp.	cellulolytic activity
RISB0786	Lepidoptera	Samia ricini	Pseudomonas	Pseudomonas	have cellulolytic activity
RISB0787	Hemiptera	Piezodorus guildinii	None	gut bacteria	None
RISB0788	Hemiptera	Euschistus heros	None	gut bacteria	None
RISB0789	Hemiptera	Aphis gossypii	None	gut bacteria	None
RISB0790	Hemiptera	Acrosternum arabicum	Pantoea	Candidatus Pantoea persica	shown to be highly abundant in a specific portion of the gut and necessary for the host development
RISB0791	Diptera	Anopheles barbirostris	Bacillus	Bacillus sp.	without this midgut flora showed delayed development to become adult
RISB0792	Blattodea	Termitoidae	Devescovina	Devescovina aymara n. sp.	None
RISB0793	Blattodea	Termitoidae	Devescovina	Devescovina sapara n. sp.	None
RISB0794	Blattodea	Termitoidae	Runanympha	Runanympha illapa n. sp.	None
RISB0795	Blattodea	Termitoidae	Runanympha	Runanympha pacha n. sp.	None
RISB0796	Diptera	Chironomus ramosus	None	gut bacteria	None
RISB0797	Diptera	Chironomus ramosus	None	gut bacteria	None
RISB0798	Hemiptera	Pseudoregma bambucicola	Pectobacterium	Pectobacterium	may help P. bambucicola feed on the stalks of bamboo
RISB0799	Hemiptera	Pseudoregma bambucicola	Wolbachia	Wolbachia	may regulate the loss of sexual reproduction or has a nutritional role in P. bambucicola
RISB0800	Coleoptera	Ips typographus	Cylindrobasidium	Cylindrobasidium ipidophilum	wood decay fungi
RISB0801	Diptera	Hermetia illucens	None	Actinomycetaceae	may help to metabolize compounds such as gossypol
RISB0802	Diptera	Hermetia illucens	None	Aspergillaceae	may help to metabolize compounds such as gossypol
RISB0803	Diptera	Hermetia illucens	None	Enterobacteriaceae	may help to metabolize compounds such as gossypol
RISB0804	Coleoptera	Hypothenemus hampei	Acinetobacter	Acinetobacter sp.	might contribute to caffeine breakdown using the C-11 oxidation pathway
RISB0805	Coleoptera	Hypothenemus hampei	Bacillus	Bacillus sp.	might contribute to caffeine breakdown using the C-8 oxidation pathway
RISB0806	Coleoptera	Hypothenemus hampei	Delftia	Delftia sp.	might contribute to caffeine breakdown using the C-19 oxidation pathway
RISB0807	Coleoptera	Hypothenemus hampei	Enterococcus	Enterococcus sp.	might contribute to caffeine breakdown using the C-10 oxidation pathway
RISB0808	Coleoptera	Hypothenemus hampei	Erwinia	Erwinia sp.	might contribute to caffeine breakdown using the C-12 oxidation pathway
RISB0809	Coleoptera	Hypothenemus hampei	Klebsiella	Klebsiella sp.	might contribute to caffeine breakdown using the C-17 oxidation pathway
RISB0810	Coleoptera	Hypothenemus hampei	Kosakonia	Kosakonia sp.	might contribute to caffeine breakdown using the C-16 oxidation pathway
RISB0811	Coleoptera	Hypothenemus hampei	Lactococcus	Lactococcus sp.	might contribute to caffeine breakdown using the C-13 oxidation pathway
RISB0812	Coleoptera	Hypothenemus hampei	Leuconostoc	Leuconostoc sp.	might contribute to caffeine breakdown using the C-18 oxidation pathway
RISB0813	Coleoptera	Hypothenemus hampei	Paenibacillus	Paenibacillus sp.	might contribute to caffeine breakdown using the C-9 oxidation pathway
RISB0814	Coleoptera	Hypothenemus hampei	Pantoea	Pantoea sp.	might contribute to caffeine breakdown using the C-14 oxidation pathway
RISB0815	Coleoptera	Hypothenemus hampei	Pseudomonas	Pseudomonas sp.	might contribute to caffeine breakdown using the C-15 oxidation pathway
RISB0816	Coleoptera	Hypothenemus hampei	Stenotrophomonas	Stenotrophomonas sp.	might contribute to caffeine breakdown using the C-20 oxidation pathway
RISB0817	Diptera	Simulium tani	Bacillus	Bacillus flexus	be associated with heavy metal contamination
RISB0818	Diptera	Simulium tani	Bacillus	Bacillus megaterium	show resistance to some antibiotics
RISB0819	Diptera	Simulium tani	Bacillus	Fictibacillus rigui	show resistance to some antibiotics
RISB0820	Diptera	Simulium tani	Bacillus	Bacillus thuringiensis	show resistance to some antibiotics
RISB0821	Diptera	Chironomus ramosus	None	gut bacteria	may helpto prevent colonization by pathogens in the gut
RISB0822	Hemiptera	Nilaparvata lugens	Wolbachia	Wolbachia	orchestrate host detoxification metabolism via the CncC pathway to promote host insecticide resistance
RISB0823	Blattodea	Blattella germanica	Stenotrophomonas	Stenotrophomonas	Stenotrophomonas spp. can colonize a gut microbiome with limited other symbionts in the presence of kanamycin.The antibiotic-induced dysbiosis and insecticide tolerance that occurred in the resistant strain suggest new, exciting mutualistic relationships between gut microbiota and their insect hosts.
RISB0824	Hymenoptera	Bombus	None	gut bacteria	None
RISB0825	Hemiptera	Riptortus pedestris	Burkholderia	Burkholderia insecticola	stimulates the sprouting of tracheal branches toward the symbiont-infected M4 crypts
RISB0826	Hemiptera	Sitobion avenae	Candidatus Regiella	Regiella insecticola	may affect the host plant utilization of aphids
RISB0827	Hemiptera	Sitobion avenae	Candidatus Hamiltonella	Hamiltonella defensa	has a defensive function and can protect aphids from parasitoids
RISB0828	Lepidoptera	Spodoptera frugiperda	Enterococcus	Enterococcus	None
RISB0829	Lepidoptera	Spodoptera frugiperda	Kaistia	Kaistia	None
RISB0830	Lepidoptera	Spodoptera frugiperda	Paenibacillus	Paenibacillus	Paenibacillus strains can be pathogens of arthropods
RISB0831	Lepidoptera	Spodoptera frugiperda	Pseudomonas	Pseudomonas	None
RISB0832	Coleoptera	Xylosandrus germanus	Ambrosiella	Ambrosiella grosmanniae	X. germanus exhibited an arrestment response to volatiles of A. grosmanniae, but not antagonistic fungi
RISB0833	Hemiptera	Megymenum gracilicorne	None	gut bacteria	None
RISB0834	Lepidoptera	Helicoverpa armigera	Bacillus	Bacillus	cellulose degrading and applied for biomass conversion in biofuel industry
RISB0835	Lepidoptera	Helicoverpa armigera	Klebsiella	Klebsiella	cellulose degrading and applied for biomass conversion in biofuel industry
RISB0836	Lepidoptera	Helicoverpa armigera	Bacillus	Bacillus safensis	producing amylase
RISB0837	Lepidoptera	Helicoverpa armigera	Bacillus	Bacillus subtillis	producing amylase
RISB0838	Lepidoptera	Helicoverpa armigera	Bacillus	Bacillus sp.	producing amylase
RISB0839	Lepidoptera	Helicoverpa armigera	Priestia	Bacillus megaterium	producing amylase
RISB0840	Hemiptera	Bemisia tabaci	Candidatus Cardinium	Cardinium	ardinium can increase the thermal tolerance of whitefly
RISB0841	Coleoptera	Gonipterus platensis	Vairimorpha	Vairimorpha  or a new genus	Symptoms in infected adults were identified by an abnormal abdomen with malformation of the second pair of wings, impairing their flight activity.
RISB0842	Hemiptera	Dactylopius coccus	Spiroplasma	Spiroplasma ixodetis DCF	use the T4SS to interact with the Dactylopius cells, which show a strong interaction and molecular signaling in the symbiosis
RISB0843	Hemiptera	Dactylopius coccus	Spiroplasma	Spiroplasma ixodetis DCM	use the T4SS to interact with the Dactylopius cells, which show a strong interaction and molecular signaling in the symbiosis
RISB0844	Hemiptera	Dactylopius coccus	Spiroplasma	Spiroplasma ixodetis DO	use the T4SS to interact with the Dactylopius cells, which show a strong interaction and molecular signaling in the symbiosis
RISB0845	Lepidoptera	Diatraea saccharalis	Fusarium	Fusarium verticillioides	manipulates both the host plant and insect herbivore across life cycle to promote its infection and dissemination
RISB0846	Hemiptera	Philaenus spumarius	Arsenophonus	Arsenophonus	None
RISB0847	Hemiptera	Philaenus spumarius	Candidatus Hamiltonella	Hamiltonella	None
RISB0848	Hemiptera	Philaenus signatus	Candidatus Hamiltonella	Hamiltonella	None
RISB0849	Hemiptera	Philaenus spumarius	Rickettsia	Rickettsia	None
RISB0850	Hemiptera	Philaenus signatus	Rickettsia	Rickettsia	None
RISB0851	Hemiptera	Neophilaenus campestris	Rickettsia	Rickettsia	None
RISB0852	Hemiptera	Philaenus spumarius	Wolbachia	Wolbachia	None
RISB0853	Hemiptera	Philaenus signatus	Wolbachia	Wolbachia	None
RISB0854	Diptera	Anopheles stephensi	Asaia	Asaia sp. W12	Two complete operons encoding cytochrome bo3-type ubiquinol terminal oxidases (cyoABCD-1 and cyoABCD-2) were found in most Asaia genomes, possibly offering alternative terminal oxidases and allowing the flexible transition of respiratory pathways. Genes involved in the production of 2,3-butandiol and inositol have been found in Asaia sp. W12, possibly contributing to biofilm formation and stress tolerance.
RISB0855	Coleoptera	Nicrophorus vespilloides	Yarrowia	Yarrowia-like yeast BNone2	potentially facilitate carcass utilization by producing digestive enzymes, eliminating cadaver-associated toxic volatiles, and releasing antimicrobials to sanitize the microenvironment
RISB0856	Coleoptera	Nicrophorus vespilloides	Yarrowia	Yarrowia-like yeast C11	potentially facilitate carcass utilization by producing digestive enzymes, eliminating cadaver-associated toxic volatiles, and releasing antimicrobials to sanitize the microenvironment
RISB0857	Coleoptera	Nicrophorus vespilloides	Yarrowia	Yarrowia-like yeast ENone2	potentially facilitate carcass utilization by producing digestive enzymes, eliminating cadaver-associated toxic volatiles, and releasing antimicrobials to sanitize the microenvironment
RISB0858	Hymenoptera	Cephalotes	None	Burkholderiales	enriches the nutrient composition by recycling nitrogen-rich metabolic waste to increase the production of amino acids
RISB0859	Hymenoptera	Cephalotes	Opitutales	Opitutales	enriches the nutrient composition by recycling nitrogen-rich metabolic waste to increase the production of amino acids
RISB0860	Hymenoptera	Cephalotes	Pseudomonadales	Pseudomonadales	enriches the nutrient composition by recycling nitrogen-rich metabolic waste to increase the production of amino acids
RISB0861	Hymenoptera	Cephalotes	Rhizobiales	Rhizobiales	enriches the nutrient composition by recycling nitrogen-rich metabolic waste to increase the production of amino acids
RISB0862	Hymenoptera	Cephalotes	None	Xanthomonadales	enriches the nutrient composition by recycling nitrogen-rich metabolic waste to increase the production of amino acids
RISB0863	Orthoptera	Ensifera	None	Gut bacteria	influence the contrastic feeding habits of insects belonging to Ensifera
RISB0864	Hemiptera	Adelphocoris suturalis	None	bacterial communities	None
RISB0865	Diptera	Drosophila melanogaster	Erwinia	Erwinia carotovora carotovora 15	Decrease olfactory discrimination
RISB0866	Lepidoptera	Chilo suppressalis	None	gut bacteria	None
RISB0867	Lepidoptera	Spodoptera frugiperda	None	gut bacteria	affects energy and metabolic homeostasis in S. frugiperda
RISB0868	Hymenoptera	Sirex noctilio	Amylostereum	Amylostereum	may encod enzymes involved in degrading lignocellulose and fixing nitrogen
RISB0869	Hymenoptera	Sirex noctilio	Nitrosospira	Nitrosospira	might be involved in degrading organic matter and fixing nitrogen occurred exclusively in the larval gut
RISB0870	Hymenoptera	Sirex noctilio	Ruminobacter	Ruminobacter	might be involved in degrading organic matter and fixing nitrogen occurred exclusively in the larval gut
RISB0871	Hymenoptera	Sirex noctilio	Zoogloea	Zoogloea	might be involved in degrading organic matter and fixing nitrogen occurred exclusively in the larval gut
RISB0872	Hemiptera	Nysius sp.	Candidatus Schneideria	Candidatus Schneideria nysicola isolate NB	synthesize four B vitamins(Pan, pantothenate;Fol, folate; Rib, riboflavin; Pyr, pyridoxine) and five Essential Amino Acids(Ile, isoleucine; Val, valine; Lys, lysine; Thr, threonine; Phe, phenylalanine)
RISB0873	Hemiptera	Nysius sp.	Candidatus Schneideria	Candidatus Schneideria nysicola isolate NR	synthesize four B vitamins(Pan, pantothenate;Fol, folate; Rib, riboflavin; Pyr, pyridoxine) and five Essential Amino Acids(Ile, isoleucine; Val, valine; Lys, lysine; Thr, threonine; Phe, phenylalanine)
RISB0874	Hemiptera	Nysius sp.	Candidatus Schneideria	Candidatus Schneideria nysicola isolate NT	synthesize four B vitamins(Pan, pantothenate;Fol, folate; Rib, riboflavin; Pyr, pyridoxine) and five Essential Amino Acids(Ile, isoleucine; Val, valine; Lys, lysine; Thr, threonine; Phe, phenylalanine)
RISB0875	Coleoptera	Scarabaeinae	None	gut bacteria	None
RISB0876	Diptera	Drosophila suzukii	Gluconobacter	Gluconobacter cerinus	None
RISB0877	Lepidoptera	Galleria mellonella	Bacillus	Bacillus wyabhattai	biodegradation of Polyethylene
RISB0878	Lepidoptera	Galleria mellonella	Microbacterium	Microbacterium oxydans	biodegradation of Polyethylene
RISB0879	Blattodea	Odontotermes obesus	Pseudomonas	Pseudomonas	can function as a defensive mutualist as it prevents the weedy fungus while keeping the crop fungus (fungus garden) unaffected
RISB0880	Hymenoptera	Philanthus triangulum	Streptomyces	Streptomyces philanthi  biovar triangulum 23Af2	provides protection to the developing offspring against pathogenic microorganisms
RISB0881	Diptera	Glossina fuscipes fuscipes	Spiroplasma	Spiroplasma	the bacterium and tsetse host compete for finite nutrients, which negatively impact female fecundity by increasing the length of intrauterine larval development
RISB0882	Hemiptera	Acyrthosiphon pisum	Candidatus Hamiltonella	Hamiltonella defensa	symbiont have a weak effect on the ability of aphids to defend themselves against the parasitic wasps Aphidius ervi during the attack and a strong effect on aphid resistance against parasitoid development
RISB0883	Hemiptera	Acyrthosiphon pisum	Candidatus Regiella	Regiella insecticola	symbiont have a weak effect on the ability of aphids to defend themselves against the parasitic wasps Aphidius ervi during the attack and a strong effect on aphid resistance against parasitoid development
RISB0884	Hemiptera	Blissus insularis	Burkholderia	Burkholderia	the initial colonization by Burkholderia programs the ontogeny of the midgut, providing a sheltered residence protected from microbial antagonists
RISB0885	Hemiptera	Riptortus pedestris	Burkholderia	Burkholderia symbiont strain SFA1	degrade this insecticide through a horizontally acquired insecticide-degrading enzyme into the non-insecticidal
RISB0886	Hemiptera	Anoecia corni	Arsenophonus	Arsenophonus	None
RISB0887	Hemiptera	Anoecia corni	Serratia	Serratia symbiotica	None
RISB0888	Hemiptera	Anoecia corni	Serratia	Dactylopiibacterium carminicum	None
RISB0889	Hemiptera	Anoecia corni	Wolbachia	Wolbachia	None
RISB0890	Hemiptera	Anoecia corni	None	bacteria	None
RISB0891	Blattodea	Blattaria	Nephridiophaga	Nephridiophaga postici	They infect the Malpighian tubules where especially the lumen can be densely colonised by different life cycle stages
RISB0892	Blattodea	Blattaria	Nephridiophaga	Nephridiophaga javanicae	They infect the Malpighian tubules where especially the lumen can be densely colonised by different life cycle stages
RISB0893	Diptera	Bactrocera dorsalis	Enterobacter	Enterobacter sp.	be beneficial, with some quality control indices, such as adult size, pupal weight, survival rate under stress and nutritionally rich conditions, and mating competitiveness, being significantly increased, while slight nonsignificant increases in emergence rate and flight ability were observed
RISB0894	Coleoptera	Platypus cylindrus	None	Bacterial microbiome of Platypus cylindrus-Quercus suber interaction	None
RISB0895	Hemiptera	Diaphorina citri	Wolbachia	Wolbachia	None
RISB0896	Hemiptera	Diaphorina citri	None	bacteria	None
RISB0897	Hemiptera	Myzus persicae	Brevibacterium	Brevibacterium sediminis C1	None
RISB0898	Hemiptera	Myzus persicae	Brevibacterium	Brevibacterium sediminis strain T1	None
RISB0899	Hemiptera	Myzus persicae	Buchnera	Buchnera	supply vitamins and essential amino acids that are not taken up through their plant diets, such as methionine and tryptophan
RISB0900	Hemiptera	Myzus persicae	Curtobacterium	Curtobacterium citreum strain C3	None
RISB0901	Hemiptera	Myzus persicae	Exiguobacterium	Exiguobacterium indicum strain T4	None
RISB0902	Hemiptera	Myzus persicae	Metabacillus	Metabacillus indicus strain P	None
RISB0903	Hemiptera	Myzus persicae	Methylorubrum	Methylorubrum aminovorans strain T2	None
RISB0904	Hemiptera	Myzus persicae	Microbacterium	Microbacterium esteraromaticum C2	None
RISB0905	Hemiptera	Myzus persicae	Microbacterium	Microbacterium proteolyticum strain C4	None
RISB0906	Hemiptera	Myzus persicae	Microbacterium	Microbacterium esteraromaticum strain T3	None
RISB0907	Hemiptera	Myzus persicae	Microbacterium	Microbacterium paraoxydans strain E	None
RISB0908	Hemiptera	Myzus persicae	Pseudomonas	Pseudomonas brenneri strain T-P1	None
RISB0909	Hemiptera	Myzus persicae	Pseudomonas	Pseudomonas reactans strain T-P2	None
RISB0910	Hemiptera	Myzus persicae	Pseudomonas	Pseudomonas reactans strain C-P	None
RISB0911	Hemiptera	Myzus persicae	Pseudomonas	Pseudomonas brenneri strain E-P2	None
RISB0912	Hemiptera	Myzus persicae	Pseudomonas	Pseudomonas reactans strain P-P	None
RISB0913	Lepidoptera	Prays oleae	Acetinobacter	Acetinobacter	participate in detoxicating
RISB0914	Lepidoptera	Prays oleae	Acetinobacter	Acetinobacter	participate in detoxicating
RISB0915	Lepidoptera	Prays oleae	None	Gut bacteria	None
RISB0916	Lepidoptera	Prays oleae	Pseudomonas	Pseudomonas	participate in nutrition
RISB0917	Diptera	Aedes aegypti	Klebsiella	Klebsiella sp. MC1F	could impact larval development (e.g., spermidine)
RISB0918	Hemiptera	Pentatomomorpha	Erwinia	Erwinia	None
RISB0919	Hemiptera	Pentatomomorpha	Pantoea	Pantoea	None
RISB0920	Coleoptera	Odontotaenius disjunctus	Streptomyces	Streptomyces	resulting in a rich repertoire of antimicrobials, inhibit a fungal entomopathogen, Metarhizium anisopliae
RISB0921	Coleoptera	Ellychnia corrusca	None	gut bacteria	None
RISB0922	Coleoptera	Photuris versicolor	None	gut bacteria	None
RISB0923	Coleoptera	Pyractomena borealis	None	gut bacteria	None
RISB0924	Coleoptera	Tenebrio sp.	None	gut bacteria	None
RISB0925	Coleoptera	Euwallacea fornicatus	Fusarium	Fusarium akasia	None
RISB0926	Coleoptera	Euwallacea fornicatus	Fusarium	Fusarium awan	None
RISB0927	Coleoptera	Euwallacea fornicatus	Fusarium	Fusarium mekan	None
RISB0928	Coleoptera	Euwallacea fornicatus	Fusarium	Fusarium variousi	None
RISB0929	Coleoptera	Euwallacea fornicatus	Fusarium	Fusarium warna	None
RISB0930	Diptera	Bactrocera oleae	Erwinia	Candidatus Erwinia dacicola	None
RISB0931	Coleoptera	Carabidae	None	bacteria	None
RISB0932	Diptera	Ceratitis capitata	Asaia	Asaia	a possible involvement of Asaia in determining resistance to insecticides
RISB0933	Diptera	Ceratitis capitata	None	Gut bacteria	a possible involvement of Asaia in determining resistance to insecticides
RISB0934	Hemiptera	Myzus persicae	Buchnera	Buchnera aphidocola	Buchnera provide the aphid with essential amino acids and nutrients that are limited in the aphid’s diet
RISB0935	Hymenoptera	Sirex nitobei	Amylostereum	Amylostereum areolatum	None
RISB0936	Hymenoptera	Sirex nitobei	Amylostereum	Amylostereum chaetica	None
RISB0937	Coleoptera	Platypus cylindrus	Raffaelea	Raffaelea quercina sp. nov.	None
RISB0938	Hemiptera	Sitobion miscanthi	Candidatus Hamiltonella	Candidatus Hamiltonella defensa	infection with H. defensa reduced aphid susceptibility to the investigated insecticides at low concentrations, potentially by increasing detoxification enzyme activity in the host
RISB0939	Hymenoptera	Apis mellifera	None	gut bacteria	None
RISB0940	Hemiptera	Bemisia tabaci	Rickettsia	Rickettsia	Rickettsia can be transmitted into plants via whitefly feeding and remain alive within the cotton plants for at least 2 weeks.Then the persistence of Rickettsia and its induced defense responses in cotton plants can increase the fitness of whitefly and, by this, Rickettsia may increase its infection and spread within its whitefly host
RISB0941	Hemiptera	Acyrthosiphon pisum	Serratia	Serratia symbiotica	Serratia promoted development and growth of its aphid host through enhancing fatty acid biosynthesis
RISB0942	Hemiptera	Laodelphax striatellus	Spiroplasma	Spiroplasma	male-killing suppression
RISB0943	Hymenoptera	Polybia plebeja	Streptomyces	Streptomyces sp. M54	this bacterium produces antimicrobial compounds that are active against Hirsutella citriformis, a natural fungal enemy of its host, and the human pathogens Staphylococcus aureus and Candida albicans
RISB0944	Coleoptera	Hypothenemus hampei	None	gut bacteria	None
RISB0945	Coleoptera	Callosobruchus maculatus	Staphylococcus	Staphylococcus gallinarum	The strain encodes complete biosynthetic pathways for the production of B vitamins and amino acids, including tyrosine; A carbohydrate-active enzyme search revealed that the genome codes for a number of digestive enzymes, reflecting the nutritional ecology of C. maculatus
RISB0946	Coleoptera	Callosobruchus maculatus	Staphylococcus	Staphylococcus gallinarum	The strain encodes complete biosynthetic pathways for the production of B vitamins and amino acids, including tyrosine
RISB0947	Hymenoptera	Acromyrmex	Pseudonocardia	Pseudonocardia	Pseudonocardia in the Acromyrmex leaf-cutter ants as a protective partner against the entomopathogenic fungus Metarhizium
RISB0948	Diptera	Drosophila	Enterococcus	Enterococcus	Enterococcus dramatically diminished or even completely reversed the ovipositional avoidance of alkalinity in Drosophila. Mechanistically, Enterococcus generate abundant lactate during fermentation, which neutralizes the residual alkali in an egg-laying substrate.
RISB0949	Diptera	Drosophila	Enterococcus	Enterococcus	Enterococcus protects Drosophila from alkali stress by acidifying the ovipositional substrate, and ultimately improves the fitness of the Drosophila population
RISB0950	Hemiptera	Brachynema germari	Pantoea	Pantoea sp.	symbiont lead to external morphological changes (e.g. abnormalities in notum and wings) as well as significantly fewer emergence rates (in all stages, except for the first instar);less mating frequency was observed in the aposymbiotic population compared with the control
RISB0951	Hymenoptera	Dryocosmus kuriphilus	Aspergillus	Aspergillus sp.	None
RISB0952	Hymenoptera	Dryocosmus kuriphilus	Botryosphaeria	Botryosphaeria sp.	None
RISB0953	Hymenoptera	Dryocosmus kuriphilus	Diaporthe	Diaporthe sp.	None
RISB0954	Hymenoptera	Cephalcia chuxiongica	Serratia	Serratia	associated with the long-term larval diapause
RISB0955	Hymenoptera	Cephalcia chuxiongica	Wolbachia	Wolbachia	associated with parthenogenesis
RISB0956	Hymenoptera	Cephalcia chuxiongica	None	gut bacteria	None
RISB0957	Diptera	Aedes albopictus	Wolbachia	Wolbachia	antibiotics induced histopathological damage and reactive oxygen species production in the ovaries
RISB0958	Coleoptera	Heterelmis comalensis	None	gut bacteria	None
RISB0959	Diptera	Anopheles gambiae	Leptosphaerulina	Leptosphaerulina persists	induces a distinctive melanotic phenotype across the developmental stages of mosquito
RISB0960	Diptera	Drosophila melanogaster	None	gut bacteria	Reduce memory of olfactory appetitive
RISB0961	Diptera	Drosophila melanogaster	Acetobacter	Acetobacter	The exist of Acetobacter had a balancing effect on food ingestion when carbohydrate levels were high in the warmer months, stabilizing fitness components of flies across the year.
RISB0962	Diptera	Drosophila melanogaster	Streptomyces	Streptomyces	None
RISB0963	Hemiptera	Anasa tristis	Burkholderia	Caballeronia	improve the survival rate and shorten the development time of Pumpkin Bedbug
RISB0964	Hemiptera	Diaphorina citri	None	Candidatus Profftella	None
RISB0965	Hemiptera	Diaphorina citri	Wolbachia	Wolbachia	None
RISB0966	Phthiraptera	Columbicola wolffhuegeli	Sodalis	Sodalis sp. CWE	None
RISB0967	Coleoptera	Oulema melanopus	Lactococcus	Lactococcus lactis	contribute to the decomposition of complex carbohydrates, fatty acids, or polysaccharides in the insect gut. It might also contribute to the improvement of nutrient availability.
RISB0968	Coleoptera	Oulema melanopus	Pantoea	Pantoea	participate in the degradation, utilization of different types of plant materials
RISB0969	Coleoptera	Oulema melanopus	Pseudomonas	Pseudomonas	can be involved in the digestion of insect host’s food and plant secondary metabolites, which may increase the availability of nutrients
RISB0970	Coleoptera	Oulema melanopus	Rickettsia	Rickettsia	may be associated with insect reproduction and maturation of their sexual organs
RISB0971	Coleoptera	Oulema melanopus	Wolbachia	Wolbachia	may be associated with insect reproduction and maturation of their sexual organs
RISB0972	Coleoptera	Sitophilus oryzae	Candidatus Sodalis	Sodalis pierantonius	produce vitamins and essential amino acids required for insect development and cuticle biosynthesis
RISB0973	Hemiptera	Ceroplastes japonicus	Ophiocordyceps	Ophiocordyceps sp.	have intimate associations with the growth and development of soft scales
RISB0974	Hemiptera	Ceroplastes japonicus	Ophiocordyceps	Ophiocordyceps	have intimate associations with the growth and development of soft scales
RISB0975	Coleoptera	Lagria villosa	Burkholderia	Burkholderia	None
RISB0976	Hemiptera	Psyllidae	None	bacterial communities	None
RISB0977	Hemiptera	Trichochermes walkeri	None	bacterial communities	None
RISB0978	Hemiptera	Macrohomotoma gladiata	None	bacterial communities	None
RISB0979	Hemiptera	Russelliana capsici	None	bacterial communities	None
RISB0980	Coleoptera	Tribolium castaneum	None	gut bacteria	degrade Lignocellulose
RISB0981	Hemiptera	Aphis gossypii	Serratia	Serratia symbiotica	gut pathogens in aphid hosts
RISB0982	Hymenoptera	Vespula penalica	Arsenophonus	Arsenophonus sp.	Arsenophonus sp. has been negatively associated with honeybee hive health
RISB0983	Hymenoptera	Nasonia vitripennis	None	diapause-related microbiome	for nutrient allocation and mobilisation during diapause
RISB0984	Hymenoptera	Nasonia vitripennis	Providencia	Providencia sp.	may highly associated with diapause
RISB0985	Diptera	Drosophila melanogaster	Wolbachia	Wolbachia	Wolbach regulates the host's transcriptional response to viral infection and affects viral replication
RISB0986	Hemiptera	Nilaparvata lugens	Wolbachia	Wolbachia	enhances expression of P450 NlCYP4CE1 in Nilaparvata lugens in response to imidacloprid stress
RISB0987	Hymenoptera	Trichogramma brassicae	Wolbachia	Wolbachia	Wolbachia affects the post-eclosion host preference of female wasps; Wolbachia-infected wasps did not show any host preference and more frequently switched hosts in the laboratory, while uninfected wasps significantly preferred to lay eggs on the host species they developed on. Additionally, Wolbachia significantly improved the emergence rate of infected wasps when reared on new hosts
RISB0988	Hymenoptera	Trichogramma brassicae	Wolbachia	Wolbachia	the wasp's infection with Wolbachia may lead to impairment of post-eclosion host preference and facilitates growing up on different host species
RISB0989	Odonata	Ischnura elegans	None	bacteria	None
RISB0990	Hemiptera	Rhopalosiphum padi	Candidatus Hamiltonella	Hamiltonella defensa	led to a decrease in aphid feeding on low-quality host plants
RISB0991	Diptera	Anopheles arabiensis	None	Microsporidia MB	impairs Plasmodium transmission
RISB0992	Hemiptera	Bemisia tabaci	Rickettsia	Candidatus Rickettsia_Torix_Bemisia_tabaci	None
RISB0993	Coleoptera	Tribolium castaneum	Acinetobacter	Acinetobacter sp. AnTc-1	may play a role in the larval gut for biodegradation of Polystyrene PS
RISB0994	Hemiptera	Bemisia tabaci	Rickettsia	Rickettsia	Both Bemisia tabaci B and MED show a strong link of the facultative symbiont Rickettsia to transmission of Tomato yellow leaf curl virus (TYLCV)
RISB0995	Hemiptera	Acyrthosiphon pisum	Serratia	Serratia symbiotica	impairs plant defence response by suppressing Ca2+ elevation and ROS accumulation, allowing colonization of aphids
RISB0996	Hemiptera	Cimex hemipterus	Wolbachia	Wolbachia massiliensis sp. Nov	None
RISB0997	Hemiptera	Sitobion avenae	Candidatus Regiella	Regiella insecticola	the survival and fecundity of infected aphids having survived parasitoid wasp Aphelinus asychis attack were clearly reduced compared to the control
RISB0998	Hemiptera	Bactericera trigonica	Sodalis	Sodalis	Sodalis infecting B. trigonica was more closely related to symbionts infecting weevils, stink bugs and tsetse flies than to those from psyllid species
RISB0999	Hemiptera	Acyrthosiphon pisum	Candidatus Fukatsuia	Fukatsuia	facultative symbiont aided the recovery of the obligate symbiont and the host after heat stress
RISB1000	Hemiptera	Acyrthosiphon pisum	Candidatus Regiella	Regiella	facultative symbiont aided the recovery of the obligate symbiont and the host after heat stress
RISB1001	Diptera	Anastrepha obliqua	Providencia	Providencia rettgeri	improve the sexual competitiveness of males
RISB1002	Coleoptera	Ips typographus	Pseudomonas	Pseudomonas typographi	P. typographi aids I. typographi nutrition and resistance to fungal pathogens
RISB1003	Coleoptera	Melolontha melolontha	Pseudomonas	Pseudomonas chlororaphis	Against Bacterial Symbionts of Entomopathogenic Nematodes
RISB1004	Coleoptera	Monochamus alternatus	Enterobacter	Enterobacter	may help M. alternatus degrade cellulose and pinene
RISB1005	Coleoptera	Monochamus alternatus	Lactococcus	Lactococcus	may help M. alternatus degrade cellulose and pinene
