序号	记录类型	分类目	分类科	分类亚科	昆虫名称	共生体分类门	共生体分类目	共生体分类属	共生体分类级别	共生体分类阶元	共生体名称	种类	寄生位置	传播模式	功能	功能标签	共生体序列数据	基因组序号	参考文献	doi号	期刊	出版年份	备注
RISB0772	Symbiont	Diptera	Anthomyiidae	Anthomyiinae	Delia antiqua	Pseudomonadota	Enterobacterales	Morganella	Genus	Morganella	Morganella morganii	Bacteria	None	None	showed significant volatile inhibition activity against fungal entomopathogen Fusarium moniliforme, Botryosphaeria dothidea and both Fusarium oxysporum respectively	None	None	None	Antagonistic Effects of Delia antiqua (Diptera: Anthomyiidae)-Associated Bacteria Against Four Phytopathogens	10.1093/jee/toab002	JOURNAL OF ECONOMIC ENTOMOLOGY	2021	None
RISB0773	Symbiont	Diptera	Anthomyiidae	Anthomyiinae	Delia antiqua	Pseudomonadota	Hyphomicrobiales	Ochrobactrum	Genus	Ochrobactrum	Ochrobactrum anthropi	Bacteria	None	None	showed significant volatile inhibition activity against fungal entomopathogen Fusarium moniliforme, Botryosphaeria dothidea and both Fusarium oxysporum respectively	None	None	None	Antagonistic Effects of Delia antiqua (Diptera: Anthomyiidae)-Associated Bacteria Against Four Phytopathogens	10.1093/jee/toab002	JOURNAL OF ECONOMIC ENTOMOLOGY	2021	None
RISB0774	Symbiont	Diptera	Anthomyiidae	Anthomyiinae	Delia antiqua	Bacillota	Bacillales	Paenibacillus	Genus	Paenibacillus	Paenibacillus sp. 3	Bacteria	None	None	showed significant contact inhibition activity against fungal entomopathogen Fusarium moniliforme, Botryosphaeria dothidea and both Fusarium oxysporum respectively	None	None	None	Antagonistic Effects of Delia antiqua (Diptera: Anthomyiidae)-Associated Bacteria Against Four Phytopathogens	10.1093/jee/toab002	JOURNAL OF ECONOMIC ENTOMOLOGY	2021	None
RISB0775	Symbiont	Diptera	Anthomyiidae	Anthomyiinae	Delia antiqua	Pseudomonadota	Mycobacteriales	Rhodococcus	Genus	Rhodococcus	Rhodococcus equi	Bacteria	None	None	showed significant contact inhibition activity against fungal entomopathogen Fusarium moniliforme, Botryosphaeria dothidea and both Fusarium oxysporum respectively	None	None	None	Antagonistic Effects of Delia antiqua (Diptera: Anthomyiidae)-Associated Bacteria Against Four Phytopathogens	10.1093/jee/toab002	JOURNAL OF ECONOMIC ENTOMOLOGY	2021	None
RISB0776	Symbiont	Coleoptera	Tenebrionidae	Lagriinae	Lagria villosa	Pseudomonadota	Burkholderiales	Burkholderia	Genus	Burkholderia	Burkholderia gladioli  Lv-StA	Bacteria	Extracellular	Vertical	Antibiotic production	Antimicrobials	KT888026,KT888030,KU358660,KU358661	None	Antibiotic-producing symbionts dynamically transition between plant pathogenicity and insect-defensive mutualism	10.1038/ncomms15172	NATURE COMMUNICATIONS	2021	None
RISB0777	Symbiont	Coleoptera	Scarabaeidae	Scarabaeinae	Copris tripartitus	Actinomycetota	Kitasatosporales	Streptomyces	Genus	Streptomyces	Streptomyces sp. AT67	Bacteria	Extracellular	None	contribute brood ball hygiene by inhibiting fungal parasites in the environment	Antimicrobials	KU141340-KU141355	None	Antifungal Streptomyces spp., Plausible Partners for Brood-Caring of the Dung Beetle Copris tripartitus	10.3390/microorganisms9091980	MICROORGANISMS	2021	None
RISB0778	Symbiont	Hemiptera	Aphididae	Aphidinae	Myzus persicae	Pseudomonadota	Enterobacterales	Buchnera	Genus	Buchnera	Buchnera aphidicola	Bacteria	Intracellular	None	aphid endosymbiont Buchnera aphidicola can facilitate cucumber mosaic virus (CMV) transmission by modulating plant volatile profiles	Pathogen interaction	None	None	Aphid endosymbiont facilitates virus transmission by modulating the volatile profile of host plants	10.1186/s12870-021-02838-5	BMC PLANT BIOLOGY	2021	None
RISB0779	Symbiont	Diptera	Drosophilidae	Drosophilinae	Drosophila melanogaster	Pseudomonadota	Rickettsiales	Wolbachia	Genus	Wolbachia	Wolbachia	Bacteria	Intracellular	Vertical	Wolbachia infection affects differential gene expression in Drosophila testis.Genes involved in carbohydrate metabolism, lysosomal degradation, proteolysis, lipid metabolism, and immune response were upregulated in the presence of Wolbachia	Immune priming	None	None	Association of Wolbachia with Gene Expression in Drosophila Testes	10.1007/s00248-021-01703-0	MICROBIAL ECOLOGY	2021	None
RISB0780	Amplicon	Diptera	Anthomyiidae	Anthomyiinae	Delia antiqua	None	None	None	None	None	bacterial communities	Bacteria	None		bacterial blocked B. bassiana conidia and stabilized the associated microbiota of D. antiqua larvae during B. bassiana invasion	None	SRR15526705-SRR15526724	None	Bacterial Inhibition on Beauveria bassiana Contributes to Microbiota Stability in Delia antiqua	10.3389/fmicb.2021.710800	FRONTIERS IN MICROBIOLOGY	2021	None
RISB0781	Symbiont	Lepidoptera	Saturniidae	Saturniinae	Samia ricini	Bacillota	Bacillales	Bacillus	Genus	Bacillus	Bacillus sp.	Bacteria	None	None	cellulolytic activity	Digestive enzymes	MK640803,MK640804,MK640805,MK640808,MK640810,MK640812,MK640814,MK640815,MK640816,MK640817,MK640819,MK640822,MK640823,MK640824,MK640829,MK811107,MK640835,MK640836,MK640837,MK640840,MK640841	None	Cellulolytic activity of gut bacteria isolated from the eri silkworm larvae, Samia ricini, (Lepidoptera: Saturniidae)	10.1007/s42690-021-00459-x	INTERNATIONAL JOURNAL OF TROPICAL INSECT SCIENCE	2021	None
RISB0782	Symbiont	Lepidoptera	Saturniidae	Saturniinae	Samia ricini	Bacillota	Bacillales	Bacillus	Genus	Bacillus	Bacillus	Bacteria	Extracellular	Horizontal	have cellulolytic activity	Digestive enzymes	None	None	Cellulolytic activity of gut bacteria isolated from the eri silkworm larvae, Samia ricini, (Lepidoptera: Saturniidae)	10.1007/s42690-021-00459-x	INTERNATIONAL JOURNAL OF TROPICAL INSECT SCIENCE	2021	None
RISB0783	Symbiont	Lepidoptera	Saturniidae	Saturniinae	Samia ricini	Bacillota	Lactobacillales	Enterococcus	Genus	Enterococcus	Enterococcus sp.	Bacteria	Extracellular	Mix-mode	cellulolytic activity	Digestive enzymes	None	None	Cellulolytic activity of gut bacteria isolated from the eri silkworm larvae, Samia ricini, (Lepidoptera: Saturniidae)	10.1007/s42690-021-00459-x	INTERNATIONAL JOURNAL OF TROPICAL INSECT SCIENCE	2021	None
RISB0784	Symbiont	Lepidoptera	Saturniidae	Saturniinae	Samia ricini	Bacillota	Lactobacillales	Enterococcus	Genus	Enterococcus	Enterococcus	Bacteria	Extracellular	Horizontal	have cellulolytic activity	Digestive enzymes	None	None	Cellulolytic activity of gut bacteria isolated from the eri silkworm larvae, Samia ricini, (Lepidoptera: Saturniidae)	10.1007/s42690-021-00459-x	INTERNATIONAL JOURNAL OF TROPICAL INSECT SCIENCE	2021	None
RISB0785	Symbiont	Lepidoptera	Saturniidae	Saturniinae	Samia ricini	Pseudomonadota	Pseudomonadales	Pseudomonas	Genus	Pseudomonas	Pseudomonas sp.	Bacteria	None	None	cellulolytic activity	Digestive enzymes	MK640838,MK640818	None	Cellulolytic activity of gut bacteria isolated from the eri silkworm larvae, Samia ricini, (Lepidoptera: Saturniidae)	10.1007/s42690-021-00459-x	INTERNATIONAL JOURNAL OF TROPICAL INSECT SCIENCE	2021	None
RISB0786	Symbiont	Lepidoptera	Saturniidae	Saturniinae	Samia ricini	Pseudomonadota	Pseudomonadales	Pseudomonas	Genus	Pseudomonas	Pseudomonas	Bacteria	Extracellular	Horizontal	have cellulolytic activity	Digestive enzymes	None	None	Cellulolytic activity of gut bacteria isolated from the eri silkworm larvae, Samia ricini, (Lepidoptera: Saturniidae)	10.1007/s42690-021-00459-x	INTERNATIONAL JOURNAL OF TROPICAL INSECT SCIENCE	2021	None
RISB0787	Amplicon	Hemiptera	Pentatomidae	Pentatominae	Piezodorus guildinii	None	None	None	None	None	gut bacteria	Bacteria	Extracellular	None	None	None	SRR15946611-SRR15946706	None	Characterization and Comparison of Intestinal Bacterial Microbiomes of Euschistus heros and Piezodorus guildinii Collected in Brazil and the United States	10.3389/fmicb.2021.769965	FRONTIERS IN MICROBIOLOGY	2021	None
RISB0788	Amplicon	Hemiptera	Pentatomidae	Pentatominae	Euschistus heros	None	None	None	None	None	gut bacteria	Bacteria	Extracellular	None	None	None	SRR15946424-SRR15946518	None	Characterization and Comparison of Intestinal Bacterial Microbiomes of Euschistus heros and Piezodorus guildinii Collected in Brazil and the United States	10.3389/fmicb.2021.769965	FRONTIERS IN MICROBIOLOGY	2021	None
RISB0789	Amplicon	Hemiptera	Aphididae	Aphidinae	Aphis gossypii	None	None	None	None	None	gut bacteria	Bacteria	Extracellular	Vertical	None	None	SRR9098307-SRR9098416	None	Characterization and comparison of the bacterial microbiota of Lysiphlebia japonica parasitioid wasps and their aphid host Aphis gosypii	10.1002/ps.6299	PEST MANAGEMENT SCIENCE	2021	None
RISB0790	Symbiont	Hemiptera	Pentatomidae	Pentatominae	Acrosternum arabicum	Pseudomonadota	Enterobacterales	Pantoea	Genus	Pantoea	Candidatus Pantoea persica	Bacteria	Extracellular	None	shown to be highly abundant in a specific portion of the gut and necessary for the host development	Growth and Development	None	None	Characterization of a novel Pantoea symbiont allows inference of a pattern of convergent genome reduction in bacteria associated with Pentatomidae	10.1111/1462-2920.15169	Environmental Microbiology	2021	None
RISB0791	Symbiont	Diptera	Culicidae	Anophelinae	Anopheles barbirostris	Bacillota	Bacillales	Bacillus	Genus	Bacillus	Bacillus sp.	Bacteria	Extracellular	None	without this midgut flora showed delayed development to become adult	Growth and Development	None	None	Characterization of Ampicillin Resistant Bacillus sp. Isolated from the Midgut of Anopheles barbirostris (Van der Wulp) and its Role on Larval Development	None	Journal of Pure and Applied Microbiology	2021	None
RISB0792	Symbiont	Blattodea	None	None	Termitoidae	Parabasalia	Cristamonadida	Devescovina	Genus	Devescovina	Devescovina aymara n. sp.	Bacteria	Extracellular	None	None	None	MT975290-MT975296	None	Characterization of new cristamonad species from kalotermitid termites including a novel genus, Runanympha	10.1038/s41598-021-86645-w	SCIENTIFIC REPORTS	2021	None
RISB0793	Symbiont	Blattodea	None	None	Termitoidae	Parabasalia	Cristamonadida	Devescovina	Genus	Devescovina	Devescovina sapara n. sp.	Bacteria	Extracellular	None	None	None	MT975290-MT975296	None	Characterization of new cristamonad species from kalotermitid termites including a novel genus, Runanympha	10.1038/s41598-021-86645-w	SCIENTIFIC REPORTS	2021	None
RISB0794	Symbiont	Blattodea	None	None	Termitoidae	Parabasalia	Cristamonadida	Runanympha	Genus	Runanympha	Runanympha illapa n. sp.	Bacteria	Extracellular	None	None	None	MT975290-MT975296	None	Characterization of new cristamonad species from kalotermitid termites including a novel genus, Runanympha	10.1038/s41598-021-86645-w	SCIENTIFIC REPORTS	2021	None
RISB0795	Symbiont	Blattodea	None	None	Termitoidae	Parabasalia	Cristamonadida	Runanympha	Genus	Runanympha	Runanympha pacha n. sp.	Bacteria	Extracellular	None	None	None	MT975290-MT975296	None	Characterization of new cristamonad species from kalotermitid termites including a novel genus, Runanympha	10.1038/s41598-021-86645-w	SCIENTIFIC REPORTS	2021	None
RISB0796	Amplicon	Diptera	Chironomidae	Chironominae	Chironomus ramosus	None	None	None	None	None	gut bacteria	Bacteria	Extracellular	Vertical	None	None	SRR13061975-SRR13062005	None	Chironomus ramosus Larval Microbiome Composition Provides Evidence for the Presence of Detoxifying Enzymes	10.3390/microorganisms9081571	MICROORGANISMS	2021	None
RISB0797	Metagenome	Diptera	Chironomidae	Chironominae	Chironomus ramosus	None	None	None	None	None	gut bacteria	Bacteria	Extracellular	Vertical	None	None	SRR11031508-SRR11031510	None	Chironomus ramosus Larval Microbiome Composition Provides Evidence for the Presence of Detoxifying Enzymes	10.3390/microorganisms9081571	MICROORGANISMS	2021	None
RISB0798	Symbiont	Hemiptera	Hormaphididae	None	Pseudoregma bambucicola	Pseudomonadota	Enterobacterales	Pectobacterium	Genus	Pectobacterium	Pectobacterium	Bacteria	None	None	may help P. bambucicola feed on the stalks of bamboo	Feeding habits,Digestive enzymes	None	None	Coexistence of Three Dominant Bacterial Symbionts in a Social Aphid and Implications for Ecological Adaptation	10.3390/insects12050416	Insects	2021	None
RISB0799	Symbiont	Hemiptera	Hormaphididae	None	Pseudoregma bambucicola	Pseudomonadota	Rickettsiales	Wolbachia	Genus	Wolbachia	Wolbachia	Bacteria	Intracellular	None	may regulate the loss of sexual reproduction or has a nutritional role in P. bambucicola	Fertility,Nutrient provision	None	None	Coexistence of Three Dominant Bacterial Symbionts in a Social Aphid and Implications for Ecological Adaptation	10.3390/insects12050416	Insects	2021	None
RISB0800	Symbiont	Coleoptera	Curculionidae	Scolytinae	Ips typographus	Basidiomycota	Agaricales	Cylindrobasidium	Genus	Cylindrobasidium	Cylindrobasidium ipidophilum	Fungi	Extracellular	Horizontal	wood decay fungi	None	None	None	Corticioid basidiomycetes associated with bark beetles, including seven new Entomocorticium species from North America and Cylindrobasidium ipidophilum, comb. Nov	10.1007/s10482-021-01541-7	ANTONIE VAN LEEUWENHOEK INTERNATIONAL JOURNAL OF GENERAL AND MOLECULAR MICROBIOLOGY	2021	None
RISB0801	Symbiont	Diptera	Stratiomyidae	Hermetiinae	Hermetia illucens	Actinomycetota	Actinomycetales	None	Family	Actinomycetaceae	Actinomycetaceae	Bacteria	Extracellular	None	may help to metabolize compounds such as gossypol	Plant secondary metabolites	SRR130061420-SRR13006195	None	Cottonseed Press Cake as a Potential Diet for Industrially Farmed Black Soldier Fly Larvae Triggers Adaptations of Their Bacterial and Fungal Gut Microbiota	10.3389/fmicb.2021.634503	FRONTIERS IN MICROBIOLOGY	2021	None
RISB0802	Symbiont	Diptera	Stratiomyidae	Hermetiinae	Hermetia illucens	Ascomycota	Eurotiales	None	Family	Aspergillaceae	Aspergillaceae	Fungi	Extracellular	None	may help to metabolize compounds such as gossypol	Plant secondary metabolites	SRR130061420-SRR13006195	None	Cottonseed Press Cake as a Potential Diet for Industrially Farmed Black Soldier Fly Larvae Triggers Adaptations of Their Bacterial and Fungal Gut Microbiota	10.3389/fmicb.2021.634503	FRONTIERS IN MICROBIOLOGY	2021	None
RISB0803	Symbiont	Diptera	Stratiomyidae	Hermetiinae	Hermetia illucens	Pseudomonadota	Enterobacterales	None	Family	Enterobacteriaceae	Enterobacteriaceae	Bacteria	Extracellular	None	may help to metabolize compounds such as gossypol	Plant secondary metabolites	SRR130061420-SRR13006195	None	Cottonseed Press Cake as a Potential Diet for Industrially Farmed Black Soldier Fly Larvae Triggers Adaptations of Their Bacterial and Fungal Gut Microbiota	10.3389/fmicb.2021.634503	FRONTIERS IN MICROBIOLOGY	2021	None
RISB0804	Symbiont	Coleoptera	Curculionidae	Scolytinae	Hypothenemus hampei	Pseudomonadota	Moraxellales	Acinetobacter	Genus	Acinetobacter	Acinetobacter sp.	Bacteria	None	None	might contribute to caffeine breakdown using the C-11 oxidation pathway	Plant secondary metabolites	GCA_016624945,GCA_016624705,GCA_016624985	GISB0365,GISB0371,GISB0372	Cultivation and Genome Sequencing of Bacteria Isolated From the Coffee Berry Borer (Hypothenemus hampei), With Emphasis on the Role of Caffeine Degradation	10.3389/fmicb.2021.644768	FRONTIERS IN MICROBIOLOGY	2021	None
RISB0805	Symbiont	Coleoptera	Curculionidae	Scolytinae	Hypothenemus hampei	Bacillota	Bacillales	Bacillus	Genus	Bacillus	Bacillus sp.	Bacteria	None	None	might contribute to caffeine breakdown using the C-8 oxidation pathway	Plant secondary metabolites	GCA_016625265,GCA_016624365,GCA_016625005,GCA_016625395,GCA_016625185,GCA_016625275	GISB0359,GISB0373,GISB0376,GISB0378,GISB0379,GISB0382	Cultivation and Genome Sequencing of Bacteria Isolated From the Coffee Berry Borer (Hypothenemus hampei), With Emphasis on the Role of Caffeine Degradation	10.3389/fmicb.2021.644768	FRONTIERS IN MICROBIOLOGY	2021	None
RISB0806	Symbiont	Coleoptera	Curculionidae	Scolytinae	Hypothenemus hampei	Pseudomonadota	Burkholderiales	Delftia	Genus	Delftia	Delftia sp.	Bacteria	None	None	might contribute to caffeine breakdown using the C-19 oxidation pathway	Plant secondary metabolites	GCA_016516155,GCA_016516495,GCA_016516195	GISB0348,GISB0349,GISB0350	Cultivation and Genome Sequencing of Bacteria Isolated From the Coffee Berry Borer (Hypothenemus hampei), With Emphasis on the Role of Caffeine Degradation	10.3389/fmicb.2021.644768	FRONTIERS IN MICROBIOLOGY	2021	None
RISB0807	Symbiont	Coleoptera	Curculionidae	Scolytinae	Hypothenemus hampei	Bacillota	Lactobacillales	Enterococcus	Genus	Enterococcus	Enterococcus sp.	Bacteria	None	None	might contribute to caffeine breakdown using the C-10 oxidation pathway	Plant secondary metabolites	GCA_016625425,GCA_016516865,GCA_016517005,GCA_016625435	GISB0353,GISB0354,GISB0383,GISB0384	Cultivation and Genome Sequencing of Bacteria Isolated From the Coffee Berry Borer (Hypothenemus hampei), With Emphasis on the Role of Caffeine Degradation	10.3389/fmicb.2021.644768	FRONTIERS IN MICROBIOLOGY	2021	None
RISB0808	Symbiont	Coleoptera	Curculionidae	Scolytinae	Hypothenemus hampei	Pseudomonadota	Enterobacterales	Erwinia	Genus	Erwinia	Erwinia sp.	Bacteria	None	None	might contribute to caffeine breakdown using the C-12 oxidation pathway	Plant secondary metabolites	GCA_016625195,GCA_016625125,GCA_016624545,GCA_016624745,	GISB0362,GISB0366,GISB0374,GISB0377	Cultivation and Genome Sequencing of Bacteria Isolated From the Coffee Berry Borer (Hypothenemus hampei), With Emphasis on the Role of Caffeine Degradation	10.3389/fmicb.2021.644768	FRONTIERS IN MICROBIOLOGY	2021	None
RISB0809	Symbiont	Coleoptera	Curculionidae	Scolytinae	Hypothenemus hampei	Pseudomonadota	Enterobacterales	Klebsiella	Genus	Klebsiella	Klebsiella sp.	Bacteria	None	None	might contribute to caffeine breakdown using the C-17 oxidation pathway	Plant secondary metabolites	GCA_016516145	GISB0347	Cultivation and Genome Sequencing of Bacteria Isolated From the Coffee Berry Borer (Hypothenemus hampei), With Emphasis on the Role of Caffeine Degradation	10.3389/fmicb.2021.644768	FRONTIERS IN MICROBIOLOGY	2021	None
RISB0810	Symbiont	Coleoptera	Curculionidae	Scolytinae	Hypothenemus hampei	Pseudomonadota	Enterobacterales	Kosakonia	Genus	Kosakonia	Kosakonia sp.	Bacteria	None	None	might contribute to caffeine breakdown using the C-16 oxidation pathway	Plant secondary metabolites	GCA_016624785,GCA_016516575	GISB0352,GISB0367	Cultivation and Genome Sequencing of Bacteria Isolated From the Coffee Berry Borer (Hypothenemus hampei), With Emphasis on the Role of Caffeine Degradation	10.3389/fmicb.2021.644768	FRONTIERS IN MICROBIOLOGY	2021	None
RISB0811	Symbiont	Coleoptera	Curculionidae	Scolytinae	Hypothenemus hampei	Bacillota	Lactobacillales	Lactococcus	Genus	Lactococcus	Lactococcus sp.	Bacteria	None	None	might contribute to caffeine breakdown using the C-13 oxidation pathway	Plant secondary metabolites	GCA_016516525,GCA_016517475	GISB0351,GISB0356	Cultivation and Genome Sequencing of Bacteria Isolated From the Coffee Berry Borer (Hypothenemus hampei), With Emphasis on the Role of Caffeine Degradation	10.3389/fmicb.2021.644768	FRONTIERS IN MICROBIOLOGY	2021	None
RISB0812	Symbiont	Coleoptera	Curculionidae	Scolytinae	Hypothenemus hampei	Bacillota	Lactobacillales	Leuconostoc	Genus	Leuconostoc	Leuconostoc sp.	Bacteria	None	None	might contribute to caffeine breakdown using the C-18 oxidation pathway	Plant secondary metabolites	GCA_016624925,GCA_016517085	GISB0355,GISB0370	Cultivation and Genome Sequencing of Bacteria Isolated From the Coffee Berry Borer (Hypothenemus hampei), With Emphasis on the Role of Caffeine Degradation	10.3389/fmicb.2021.644768	FRONTIERS IN MICROBIOLOGY	2021	None
RISB0813	Symbiont	Coleoptera	Curculionidae	Scolytinae	Hypothenemus hampei	Bacillota	Bacillales	Paenibacillus	Genus	Paenibacillus	Paenibacillus sp.	Bacteria	None	None	might contribute to caffeine breakdown using the C-9 oxidation pathway	Plant secondary metabolites	GCA_016624415,GCA_016625365	GISB0360,GISB0381	Cultivation and Genome Sequencing of Bacteria Isolated From the Coffee Berry Borer (Hypothenemus hampei), With Emphasis on the Role of Caffeine Degradation	10.3389/fmicb.2021.644768	FRONTIERS IN MICROBIOLOGY	2021	None
RISB0814	Symbiont	Coleoptera	Curculionidae	Scolytinae	Hypothenemus hampei	Pseudomonadota	Enterobacterales	Pantoea	Genus	Pantoea	Pantoea sp.	Bacteria	None	None	might contribute to caffeine breakdown using the C-14 oxidation pathway	Plant secondary metabolites	GCA_016658625,GCA_016625145	GISB0375,GISB0391	Cultivation and Genome Sequencing of Bacteria Isolated From the Coffee Berry Borer (Hypothenemus hampei), With Emphasis on the Role of Caffeine Degradation	10.3389/fmicb.2021.644768	FRONTIERS IN MICROBIOLOGY	2021	None
RISB0815	Symbiont	Coleoptera	Curculionidae	Scolytinae	Hypothenemus hampei	Pseudomonadota	Pseudomonadales	Pseudomonas	Genus	Pseudomonas	Pseudomonas sp.	Bacteria	None	None	might contribute to caffeine breakdown using the C-15 oxidation pathway	Plant secondary metabolites	GCA_016518545,GCA_016625345,GCA_016624805,GCA_016624455,GCA_016648105,GCA_016648095,GCA_016647865,GCA_016658555,GCA_016647875,GCA_016658545,	GISB0358,GISB0361,GISB0368,GISB0380,GISB0385,GISB0386,GISB0387,GISB0388,GISB0389,GISB0390	Cultivation and Genome Sequencing of Bacteria Isolated From the Coffee Berry Borer (Hypothenemus hampei), With Emphasis on the Role of Caffeine Degradation	10.3389/fmicb.2021.644768	FRONTIERS IN MICROBIOLOGY	2021	None
RISB0816	Symbiont	Coleoptera	Curculionidae	Scolytinae	Hypothenemus hampei	Pseudomonadota	Lysobacterales	Stenotrophomonas	Genus	Stenotrophomonas	Stenotrophomonas sp.	Bacteria	None	None	might contribute to caffeine breakdown using the C-20 oxidation pathway	Plant secondary metabolites	GCA_016624665,GCA_016517605,GCA_016624905,GCA_016624625	GISB0357,GISB0363,GISB0364,GISB0369	Cultivation and Genome Sequencing of Bacteria Isolated From the Coffee Berry Borer (Hypothenemus hampei), With Emphasis on the Role of Caffeine Degradation	10.3389/fmicb.2021.644768	FRONTIERS IN MICROBIOLOGY	2021	None
RISB0817	Symbiont	Diptera	Simuliidae	Simuliinae	Simulium tani	Bacillota	Bacillales	Bacillus	Genus	Bacillus	Bacillus flexus	Bacteria	Extracellular	None	be associated with heavy metal contamination	None	LR989589	None	Culturable bacteria in adults of a Southeast Asian black fly, Simulium tani (Diptera:Simuliidae)	10.1016/j.actatropica.2021.105923	ACTA TROPICA	2021	None
RISB0818	Symbiont	Diptera	Simuliidae	Simuliinae	Simulium tani	Bacillota	Bacillales	Bacillus	Genus	Bacillus	Bacillus megaterium	Bacteria	Extracellular	None	show resistance to some antibiotics	Antimicrobials	LR989580	None	Culturable bacteria in adults of a Southeast Asian black fly, Simulium tani (Diptera:Simuliidae)	10.1016/j.actatropica.2021.105923	ACTA TROPICA	2021	None
RISB0819	Symbiont	Diptera	Simuliidae	Simuliinae	Simulium tani	Bacillota	Bacillales	Bacillus	Genus	Bacillus	Fictibacillus rigui	Bacteria	Extracellular	None	show resistance to some antibiotics	Antimicrobials	LR989594	None	Culturable bacteria in adults of a Southeast Asian black fly, Simulium tani (Diptera:Simuliidae)	10.1016/j.actatropica.2021.105923	ACTA TROPICA	2021	None
RISB0820	Symbiont	Diptera	Simuliidae	Simuliinae	Simulium tani	Bacillota	Bacillales	Bacillus	Genus	Bacillus	Bacillus thuringiensis	Bacteria	Extracellular	None	show resistance to some antibiotics	Antimicrobials	LR989582	None	Culturable bacteria in adults of a Southeast Asian black fly, Simulium tani (Diptera:Simuliidae)	10.1016/j.actatropica.2021.105923	ACTA TROPICA	2021	None
RISB0821	Amplicon	Diptera	Chironomidae	Chironominae	Chironomus ramosus	None	None	None	None	None	gut bacteria	Bacteria	Extracellular	Vertical	may helpto prevent colonization by pathogens in the gut	None	MZ413999-MZ414160	None	Culture-Independent and Culture-Dependent Characterization of the Black Soldier Fly Gut Microbiome Reveals a Large Proportion of Culturable Bacteria with Potential for Industrial Applications	10.3390/microorganisms9081642	MICROORGANISMS	2021	None
RISB0822	Symbiont	Hemiptera	Delphacidae	Delphacinae	Nilaparvata lugens	Pseudomonadota	Rickettsiales	Wolbachia	Genus	Wolbachia	Wolbachia	Bacteria	None	None	orchestrate host detoxification metabolism via the CncC pathway to promote host insecticide resistance	Pesticide metabolization	None	None	Decline in symbiont-dependent host detoxification metabolism contributes to increased insecticide susceptibility of insects under high temperature	10.1038/s41396-021-01046-1	ISME JOURNAL	2021	None
RISB0823	Symbiont	Blattodea	Blattellidae	None	Blattella germanica	Pseudomonadota	Lysobacterales	Stenotrophomonas	Genus	Stenotrophomonas	Stenotrophomonas	Bacteria	Extracellular	Horizontal	Stenotrophomonas spp. can colonize a gut microbiome with limited other symbionts in the presence of kanamycin.The antibiotic-induced dysbiosis and insecticide tolerance that occurred in the resistant strain suggest new, exciting mutualistic relationships between gut microbiota and their insect hosts.	Nutrient provision,Antimicrobials,Fungal farming	https://github.com/xcwolfe/German-cockroach-gut-microbiome-toxicity	None	Differential microbial responses to antibiotic treatments by insecticide-resistant and susceptible cockroach strains (Blattella germanica L.)	10.1038/s41598-021-03695-w	SCIENTIFIC REPORTS	2021	None
RISB0824	Amplicon	Hymenoptera	Apidae	Apinae	Bombus	None	None	None	None	None	gut bacteria	Bacteria	Extracellular	None	None	None	SRX7402086-SRX7402111	None	Diversity and functional analysis of Chinese bumblebee gut microbiota reveal the metabolic niche and antibiotic resistance variation of Gilliamella	10.1111/1744-7917.12770	INSECT SCIENCE	2021	None
RISB0825	Symbiont	Hemiptera	Alydidae	None	Riptortus pedestris	Pseudomonadota	Burkholderiales	Burkholderia	Genus	Burkholderia	Burkholderia insecticola	Bacteria	None	None	stimulates the sprouting of tracheal branches toward the symbiont-infected M4 crypts	None	None	None	Dual oxidase enables insect gut symbiosis by mediating respiratory network formation	10.1073/pnas.2020922118	PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA	2021	None
RISB0826	Symbiont	Hemiptera	Aphididae	Aphidinae	Sitobion avenae	Pseudomonadota	Enterobacterales	Candidatus Regiella	Genus	Candidatus Regiella	Regiella insecticola	Bacteria	Intracellular	Vertical	may affect the host plant utilization of aphids	None	None	None	Effect of the Genotypic Variation of an Aphid Host on the Endosymbiont Associations in Natural Host Populations	10.3390/insects12030217	Insects	2021	None
RISB0827	Symbiont	Hemiptera	Aphididae	Aphidinae	Sitobion avenae	Pseudomonadota	Enterobacterales	Candidatus Hamiltonella	Genus	Candidatus Hamiltonella	Hamiltonella defensa	Bacteria	Intracellular	Vertical	has a defensive function and can protect aphids from parasitoids	Natural enemy resistance	None	None	Effect of the Genotypic Variation of an Aphid Host on the Endosymbiont Associations in Natural Host Populations	10.3390/insects12030217	Insects	2021	None
RISB0828	Symbiont	Lepidoptera	Noctuidae	Amphipyrinae	Spodoptera frugiperda	Bacillota	Lactobacillales	Enterococcus	Genus	Enterococcus	Enterococcus	Bacteria	Extracellular	Horizontal	None	None	PRJNA658986	None	Effects of maize (Zea mays) genotypes and microbial sources in shaping fall armyworm (Spodoptera frugiperda) gut bacterial communities	10.1038/s41598-021-83497-2	SCIENTIFIC REPORTS	2021	None
RISB0829	Symbiont	Lepidoptera	Noctuidae	Amphipyrinae	Spodoptera frugiperda	Pseudomonadota	Hyphomicrobiales	Kaistia	Genus	Kaistia	Kaistia	Bacteria	Extracellular	Horizontal	None	None	PRJNA658986	None	Effects of maize (Zea mays) genotypes and microbial sources in shaping fall armyworm (Spodoptera frugiperda) gut bacterial communities	10.1038/s41598-021-83497-2	SCIENTIFIC REPORTS	2021	None
