Insect Species	Order	Family	Subfamily	Genus	Common Name	Description	Figure Source	Genome ID	Genome Level	BUSCO
Diabrotica virgifera	Coleoptera	Chrysomelidae	Galerucinae	Diabrotica	Western corn rootworm	Diabrotica virgifera  is one of the most devastating corn rootworm species in North America, especially in the midwestern corn-growing areas such as Iowa. A related species, the Northern corn rootworm, D. barberi, co-inhabits in much of the range and is fairly similar in biology.	carnifex@BY-NC	GCA_003013835.2	Scaffold	C:92.3%[S:90.3%,D:2.0%],F:4.8%,M:2.9%,n:1367
Diabrotica virgifera virgifera	Coleoptera	Chrysomelidae	Galerucinae	Diabrotica	None	The Western corn rootworm, Diabrotica virgifera virgifera, is one of the most devastating corn rootworm species in North America, especially in the midwestern corn-growing areas such as Iowa. A related species, the Northern corn rootworm, D. barberi, co-inhabits in much of the range and is fairly similar in biology.	Wikipedia	None	None	None
Dianemobius sp.	Orthoptera	Trigonidiidae	Nemobiinae	Dianemobius	None	Description is currently not available	Wikipedia	None	None	None
Diapherodes gigantea	Phasmatodea	Phasmatidae	Cladomorphinae	Diapherodes	None	Description is currently not available	Wikipedia	None	None	None
Diaphorina citri	Hemiptera	Psyllidae	Diaphorininae	Diaphorina	Asian citrus psyllid	Diaphorina citri is a sap-sucking, hemipteran bug in the family Liviidae. It is one of two confirmed vectors of citrus greening disease. It has a wide distribution in southern Asia and has spread to other citrus growing regions.	Chris Mallory@BY-NC	GCA_000475195.1	Scaffold	C:85.6%[S:81.0%,D:4.6%],F:7.2%,M:7.2%,n:1367
Diatraea saccharalis	Lepidoptera	Crambidae	Crambinae	Diatraea	sugarcane borer	Diatraea saccharalis is a species of moth of the family Crambidae. It was described by Johan Christian Fabricius in 1794. It is native to the Caribbean, Central America, and the warmer parts of South America south to northern Argentina. It was introduced to Louisiana in about 1855, and has since spread to the other Gulf Coast states.	Hugo Hulsberg@BY-NC	GCA_014843785.1	Scaffold	C:86.5%[S:86.1%,D:0.4%],F:9.0%,M:4.5%,n:1367
Diceroprocta semicincta	Hemiptera	Cicadidae	Cicadinae	Diceroprocta	None	Diceroprocta semicincta is a species of cicada in the family Cicadidae. It is found in Central America and North America.	Wikipedia	None	None	None
Dimorphopterus pallipes	Hemiptera	Lygaeidae	Blissidae	Dimorphopterus	None	Description is currently not available	Wikipedia	None	None	None
Diuraphis noxia	Hemiptera	Aphididae	Aphidinae	Diuraphis	Russian wheat aphid	Diuraphis noxia is an aphid that can cause significant losses in cereal crops. The species was introduced to the United States in 1986 and is considered an invasive species there. This aphid is pale green and up to 2 mm long. Cornicles are very short, rounded, and appear to be lacking. There is an appendage above the cauda giving the aphid the appearance of having two tails. The saliva of this aphid is toxic to the plant and causes whitish striping on cereal leaves. Feeding by this aphid will also cause the flag leaf to turn white and curl around the head causing incomplete head emergence. Host plants: cereal grain crops including wheat and barley and to a lesser extent, wild grasses such as wheatgrasses, brome-grasses, ryegrasses and anything in the grass family.	Jesse Rorabaugh@CC0	GCA_001186385.1	Scaffold	C:89.2%[S:87.1%,D:2.1%],F:4.6%,M:6.2%,n:1367
Dolichoderus	Hymenoptera	Formicidae	Dolichoderinae	Dolichoderus	None	Dolichoderus is a genus of ants found worldwide.	Wikipedia	None	None	None
Dolycoris baccarum	Hemiptera	Pentatomidae	Pentatominae	Dolycoris	None	Dolycoris baccarum, the sloe bug or hairy shieldbug, is a species of shield bug in the family Pentatomidae.	Wikipedia	None	None	None
Donacia bicoloricornis	Coleoptera	Chrysomelidae	Donaciinae	Donacia	None	Description is currently not available	Wikipedia	None	None	None
Donacia cincticornis	Coleoptera	Chrysomelidae	Donaciinae	Donacia	None	Donacia cincticornis is a species of aquatic leaf beetle in the family Chrysomelidae. It is found in the Caribbean Sea, Central America, and North America.	Wikipedia	None	None	None
Donacia cinerea	Coleoptera	Chrysomelidae	Donaciinae	Donacia	None	Donacia cinerea is a species of leaf beetle in the subfamily Donaciella. It can be found in Czech Republic and Slovakia.	Wikipedia	None	None	None
Donacia clavipes	Coleoptera	Chrysomelidae	Donaciinae	Donacia	None	Donacia clavipes is a species of leaf beetles from the subfamily of Donaciinae.	Wikipedia	None	None	None
Donacia crassipes	Coleoptera	Chrysomelidae	Donaciinae	Donacia	None	Donacia crassipes, the water-lily reed beetle, is a species of leaf beetle native to Europe.	Wikipedia	None	None	None
Donacia dentata	Coleoptera	Chrysomelidae	Donaciinae	Donacia	None	Donacia dentata is a species of leaf beetles of the subfamily Donaciinae.	Wikipedia	None	None	None
Donacia fulgens	Coleoptera	Chrysomelidae	Donaciinae	Donacia	None	Description is currently not available	Wikipedia	None	None	None
Donacia marginata	Coleoptera	Chrysomelidae	Donaciinae	Donacia	None	Donacia marginata is a species of leaf beetle native to Europe.	Wikipedia	None	None	None
Donacia piscatrix	Coleoptera	Chrysomelidae	Donaciinae	Donacia	None	Donacia piscatrix is a species of aquatic leaf beetle in the family Chrysomelidae. It is found in North America.	Wikipedia	None	None	None
Donacia provostii	Coleoptera	Chrysomelidae	Donaciinae	Donacia	None	Description is currently not available	Wikipedia	None	None	None
Donacia proxima	Coleoptera	Chrysomelidae	Donaciinae	Donacia	None	Donacia proxima is a species of aquatic leaf beetle in the family Chrysomelidae. It is found in North America.	Wikipedia	None	None	None
Donacia semicuprea	Coleoptera	Chrysomelidae	Donaciinae	Donacia	None	Donacia semicuprea is a species of leaf beetles of the subfamily of Donaciinae.	Wikipedia	None	None	None
Donacia simplex	Coleoptera	Chrysomelidae	Donaciinae	Donacia	None	Donacia simplex is a species of leaf beetle native to Europe.	Wikipedia	None	None	None
Donacia sparganii	Coleoptera	Chrysomelidae	Donaciinae	Donacia	None	Description is currently not available	Wikipedia	None	None	None
Donacia thalassina	Coleoptera	Chrysomelidae	Donaciinae	Donacia	None	Donacia thalassina is a species of leaf beetle of the subfamily Donaciinae. Distributed in the Palearctic region.	Wikipedia	None	None	None
Donacia tomentosa	Coleoptera	Chrysomelidae	Donaciinae	Donacia	None	Donacia tomentosa is a species of leaf beetle, that is distributed throughout Palearctic region, and from Southern France to Central Siberia.	Wikipedia	None	None	None
Donacia versicolorea	Coleoptera	Chrysomelidae	Donaciinae	Donacia	None	Donacia versicolorea is a species of leaf beetle native to Europe.	Wikipedia	None	None	None
Donacia vulgaris	Coleoptera	Chrysomelidae	Donaciinae	Donacia	None	Donacia vulgaris is a species of leaf beetle native to Europe.	Wikipedia	None	None	None
Dorcus hopei hopei	Coleoptera	Lucanidae	Lucaninae	Dorcus	None	Description is currently not available	Wikipedia	None	None	None
Doubledaya bucculenta	Coleoptera	Erotylidae	Languriinae	Doubledaya	None	Description is currently not available	Wikipedia	None	None	None
Drosophila hydei	Diptera	Drosophilidae	Drosophilinae	Drosophila	mosca casera	Drosophila hydei is a species of Diptera, or the order of flies, in the family Drosophilidae. It is a species in the hydei species subgroup, a group in the repleta species group.Bizarrely, it is also known for having approximately 23 mm long sperm, 10 times the length of the males body. Drosophila hydei are commonly found on compost piles worldwide, and can be rudimentarily identified by eye owing to their large size and variegated pigment pattern on the thorax. The name derives from Dr R. R. Hyde, who first discovered that the species was distinct from Drosophila repleta.D. hydei are one of the more popular flies used as feeders in the pet trade. A few varieties are available, some flightless.	carnifex@BY-NC	GCA_003285905.2	Contig	C:99.1%[S:96.9%,D:2.2%],F:0.1%,M:0.8%,n:1367
Drosophila melanogaster	Diptera	Drosophilidae	Drosophilinae	Drosophila	fruit fly,  vinegar fly	Drosophila melanogaster is a species of fly (the taxonomic order Diptera) in the family Drosophilidae. Starting with Charles W. Woodworths proposal of the use of this species as a model organism, D. melanogaster continues to be widely used for biological research in genetics, physiology, microbial pathogenesis, and life history evolution. As of 2017, six Nobel prizes had been awarded for research using Drosophila.	Jesse Rorabaugh@CC0	GCA_000001215.4	Chromosome	C:99.9%[S:99.3%,D:0.6%],F:0.0%,M:0.1%,n:1367
Drosophila neotestacea	Diptera	Glossinidae	None	Drosophila	None	Drosophila neotestacea is a member of the testacea species group of Drosophila. Testacea species are specialist fruit flies that breed on the fruiting bodies of mushrooms. These flies will choose to breed on psychoactive mushrooms such as the Fly Agaric Amanita muscaria. Drosophila neotestacea can be found in temperate regions of North America, ranging from the north eastern United States to western Canada.	Wikipedia	GCA_035044365.1	Contig	C:100.00%[S:99.34%,D:0.66%],F:0.00%,M:0.00%,n:1367
Drosophila nigrospiracula	Diptera	Drosophilidae	Drosophilinae	Drosophila	None	Drosophila nigrospiracula is a fly species indigenous to the Sonoran Desert, spanning Arizona, Baja California, and part of Sonora, Mexico. D. nigrospiracula share the Sonoran Desert with three other species of Drosophila: D. pachea, D. mettleri, and D. mojavensis. This fly breeds on the decomposing tissues of two species of cacti that are also endemic to the region: cardón  and saguaro .	Andrew Wesley Legan@CC BY-NC	None	None	None
Drosophila simulans	Diptera	Drosophilidae	Drosophilinae	Drosophila	None	Drosophila simulans is a species of fly closely related to D. melanogaster, belonging to the same melanogaster species subgroup. Its closest relatives are D. mauritiana and D. sechellia.	Jesse Rorabaugh@CC0	GCA_016746395.1	Chromosome	C:100.0%[S:99.1%,D:0.9%],F:0.0%,M:0.0%,n:1367
Drosophila suzukii	Diptera	Drosophilidae	Drosophilinae	Drosophila	spotted wing drosophila or SWD	Drosophila suzukii is a fruit fly. D. suzukii, originally from southeast Asia, is becoming a major pest species in America and Europe, because it infests fruit early during the ripening stage, in contrast with other Drosophila species that infest only rotting fruit.	carnifex@BY-NC	GCA_013340165.1	Chromosome	C:97.5%[S:94.4%,D:3.1%],F:1.1%,M:1.4%,n:1367
Drosophila melanogaster	Diptera	Drosophilidae	Drosophilinae	Drosophila	None	Drosophila melanogaster is a species of fly  in the family Drosophilidae. The species is often referred to as the fruit fly or lesser fruit fly, or less commonly the "vinegar fly", "pomace fly", or "banana fly". In the wild, D. melanogaster are attracted to rotting fruit and fermenting beverages, and are often found in orchards, kitchens and pubs.	Wikipedia	None	None	None
Dryocosmus kuriphilus	Hymenoptera	Formicidae	Pseudomyrmecinae	Dryocosmus	None	Dryocosmus kuriphilus is a species of gall wasp known by the common names chestnut gall wasp, Oriental chestnut gall wasp, and Asian chestnut gall wasp. It is native to China and it is known in many other parts of the world, particularly the Northern Hemisphere, as an introduced species and an invasive horticultural pest. It attacks many species of chestnut , including most cultivated varieties. It is considered the world's worst pest of chestnuts.	Wikipedia	None	None	None
Dysdercus fasciatus	Hemiptera	Pyrrhocoridae	None	Dysdercus	None	Description is currently not available	Wikipedia	None	None	None
Dysmicoccus brevipes	Hemiptera	Pseudococcidae	None	Dysmicoccus	None	Dysmicoccus brevipes is a mealybug. The scientific name was published for the first time by Theodore Dru Alison Cockerell in 1893. The species is found primarily on pineapple and other species in the genus Ananas, but also infests citrus trees, cotton, banana, coffee and other plants.	Wikipedia	None	None	None
Ecitomorpha arachnoides	Coleoptera	Staphylinidae	Aleocharinae	Ecitomorpha	None	Description is currently not available	Wikipedia	GCA_027574945.2	Scaffold	C:93.49%[S:93.05%,D:0.44%],F:4.97%,M:1.54%,n:1367
Edessa sp.	Hemiptera	Pentatomidae	Edessinae	Edessa	None	Description is currently not available	Wikipedia	None	None	None
Eldana saccharina	Lepidoptera	Pyralidae	Galleriinae	Eldana	None	Eldana is a genus of moths of the family Pyralidae containing only one species, the African sugar-cane borer, which is commonly found in Equatorial Guinea, Ghana, Mozambique, Sierra Leone and South Africa.	Wikipedia	None	None	None
Ellychnia corrusca	Coleoptera	Lampyridae	Lampyrinae	Ellychnia	None	Ellychnia corrusca, the winter firefly, is a species of firefly in the genus Ellychnia. It is a lantern-less diurnal beetle common in the United States, Mexico, and Canada. The adults spend winter on a colony tree, favoring Quercus , Carya , and Liriodendron tulipifera .	Wikipedia	None	None	None
Encarsia berlesei	Hymenoptera	Formicidae	Pseudomyrmecinae	Encarsia	None	Description is currently not available	Wikipedia	None	None	None
Encarsia citrina	Hymenoptera	Formicidae	Pseudomyrmecinae	Encarsia	None	Description is currently not available	Wikipedia	None	None	None
Encarsia formosa	Hymenoptera	Aphelinidae	Coccophaginae	Encarsia	None	Encarsia formosa is a species of chalcidoid wasp and a well known parasitoid of greenhouse whitefly, one of the first to be used commercially for biological pest control, from the 1920s. Its use fell with commercial pesticides in the 1940s, but rose again from the 1970s.	Wikipedia	GCA_030522645.1	Scaffold	C:94.14%[S:93.12%,D:1.02%],F:3.73%,M:2.12%,n:1367
Encarsia hispida	Hymenoptera	Formicidae	Pseudomyrmecinae	Encarsia	None	Description is currently not available	Wikipedia	None	None	None
Encarsia inaron	Hymenoptera	Aphelinidae	Coccophaginae	Encarsia	None	Aphelinus inaron Walker, 1839	Stephen Thorpe@CC BY-NC	None	None	None
Encarsia pergandiella	Hymenoptera	Aphelinidae	Coccophaginae	Encarsia	None	Description is currently not available	Wikipedia	None	None	None
Endoclita signifer	Lepidoptera	Pyralidae	Galleriinae	Endoclita	None	Endoclita signifer is a species of moth of the family Hepialidae. It is found in eastern Asia, including Japan, Taiwan, Sylhet, Burma, Borneo and Java.	Wikipedia	None	None	None
Ensifera	Orthoptera	None	None	Ensifera	None	Ensifera is a suborder of insects that includes the various types of crickets and their allies including: true crickets, camel crickets, bush crickets or katydids, grigs, weta and Cooloola monsters. This and the suborder Caelifera make up the order Orthoptera. Ensifera is believed to be a more ancient group than Caelifera, with its origins in the Carboniferous period, the split having occurred at the end of the Permian period. Unlike the Caelifera, the Ensifera contain numerous members that are partially carnivorous, feeding on other insects, as well as plants.	Wikipedia	None	None	None
Ephestia kuehniella	Lepidoptera	Pyralidae	Phycitinae	Ephestia	None	The Mediterranean flour moth or mill moth  is a moth of the family Pyralidae. It is a common pest of cereal grains, especially flour. This moth is found throughout the world, especially in countries with temperate climates. It prefers warm temperatures for more rapid development, but it can survive a wide range of temperatures.	Wikipedia	None	None	None
Epiphyas postvittana	Lepidoptera	Pyralidae	Galleriinae	Epiphyas	None	The light brown apple moth   is a leafroller moth belonging to the lepidopteran family Tortricidae.	Wikipedia	None	None	None
Episyrphus balteatus	Diptera	Syrphidae	Syrphinae	Episyrphus	None	Episyrphus balteatus, sometimes called the marmalade hoverfly, is a relatively small hoverfly  of the Syrphidae family, widespread throughout the Palaearctic region, which covers Europe, North Asia, and North Africa. It is considered the most abundant native hoverfly in Central Europe.	Wikipedia	GCA_026256485.1	Scaffold	C:99.42%[S:95.54%,D:3.88%],F:0.15%,M:0.44%,n:1367
Ericerus pela	Hemiptera	Coccidae	None	Ericerus	None	Ericerus pela  in uska species han Insecta nga syahan ginhulagway ni Édouard Louis Chavannes hadton 1848. An Ericerus pela in nahilalakip ha genus nga Ericerus, ngan familia nga Coccidae.	None	GCA_011428145.1	Chromosome	C:86.3%[S:82.2%,D:4.1%],F:1.5%,M:12.2%,n:1367
Eriopis connexa	Coleoptera	Coccinellidae	Coccinellinae	Eriopis	None	Eriopis connexa is a  species of ladybird beetle that is native to South America. Both males and females mate multiple times with different individuals of the opposite sex, like most members of the family Coccinellidae. This promiscuous behavior leads to unique reproductive adaptations, such as sperm mixing. Females lay unfertilized eggs which their offspring consume upon hatching, thereby boosting offspring nutrition and reducing sibling cannibalism, . This predatory beetle species feeds primarily on aphids and is widespread throughout many agroecosystems, such as cotton, maize, sorghum, soybean, and wheat. Due to aphids being extremely damaging agricultural pests, E. connexa has been introduced to the United States for biological pest management. Recent studies on pyrethroid insecticide resistance in E. connexa have led to research by applied entomologists on the species' potential role in integrated pest management schemes in crop fields that rely on lambda-cyhalothrin , a common pyrethroid insecticide that is ineffective against aphid population control. The potential efficacy and success of the utilization of E. connexa in these programs is widely debated and is the focus of much recent research due to the lack of understanding regarding the effects of pyrethroid resistance on the behavior of this species.	Wikipedia	None	None	None
Euchloe hecabe	Lepidoptera	Pieridae	Pierinae	Euchloe	None	Description is currently not available	Wikipedia	None	None	None
Eumaeus atala	Lepidoptera	Lycaenidae	Theclinae	Eumaeus	Atala or coontie hairstreak	Eumaeus atala is a small colorful butterfly in the family Lycaenidae. It is found in southeastern Florida, the Bahamas, Cuba, the Cayman Islands, and probably on other Caribbean islands. Its coloration and habits are unique among butterflies within its range.The Atala is a great example of aposematic (warning) coloration throughout its life cycle. The brightly colored larva or caterpillar feeds on cycads that contain a toxic secondary plant chemical (cycasin) which it retains in its body for life. Birds, lizards, and other animals may attempt to prey on the larva, pupa, and adults, but find them distasteful and learn to avoid these brightly patterned insects. In Florida, the larvae feed on a native cycad, Zamia pumila, commonly called coontie or arrowhead, as well as introduced ornamental cycads. In Cuba, the cycad Cycas revoluta is eaten.	Scott Zona@BY	GCA_017140195.1	Scaffold	C:97.6%[S:97.2%,D:0.4%],F:0.6%,M:1.8%,n:1367
Eumenes decorates	Hymenoptera	Vespidae	Eumeninae	Eumenes	None	Description is currently not available	Wikipedia	None	None	None
Euops chinensis	Coleoptera	Attelabidae	Attelabinae	Euops	None	Description is currently not available	Wikipedia	None	None	None
Eurema hecabe	Lepidoptera	Pieridae	Coliadinae	Eurema	None	Eurema hecabe, the common grass yellow, is a small pierid butterfly species found in Asia, Africa and Australia. They are found flying close to the ground and are found in open grass and scrub habitats. It is simply known as "the grass yellow" in parts of its range; the general term otherwise refers to the entire genus Eurema.	Wikipedia	GCA_026213755.1	Scaffold	C:96.35%[S:93.42%,D:2.93%],F:2.12%,M:1.54%,n:1367
Eurema mandarina	Lepidoptera	Pieridae	Coliadinae	Eurema	None	Eurema mandarina, also known by its common name Japanese common grass yellow, is a species from the genus Eurema. It is a coliadine butterfly.	Fran Wiesner@CC BY-NC-ND	GCA_018238005.1	Contig	C:85.30%[S:85.08%,D:0.22%],F:10.68%,M:3.80%,n:1367
Eurhizococcus brasiliensis	Hemiptera	Margarodidae	None	Eurhizococcus	None	Description is currently not available	Wikipedia	None	None	None
Eurosta solidaginis	Diptera	Tephritidae	Tephritinae	Eurosta	None	The goldenrod gall fly , also known as the goldenrod ball gallmaker, is a species of fly native to North America. The species is best known for the characteristic galls it forms on several species in the Solidago, or goldenrod, genus. The fly's eggs are inserted near the developing buds of the plant. After hatching, the larvae migrate to an area below the plant's developing buds, where they then induce the plant's tissues to form into the hardened, bulbous chamber referred to as a gall. E. solidaginis’s interactions with its host plant and insect, as well as avian, predators have made it the centerpiece of much ecological and evolutionary biology research, and its tolerance of freezing temperatures has inspired studies into the anti-freeze properties of its biochemistry.	Wikipedia	None	None	None
Eurygaster integriceps	Hemiptera	Scutelleridae	Eurygastrinae	Eurygaster	None	Eurygaster integriceps is a species of shield bug in the family Scutelleridae, commonly known as the sunn pest or corn bug. It is native to much of northern Africa, the Balkans and western and central Asia. It is a major pest of cereal crops especially wheat, barley and oats.	Wikipedia	None	None	None
Euscelidius variegatus	Hemiptera	Cicadellidae	Deltocephalinae	Euscelidius	None	Description is currently not available	Wikipedia	None	None	None
Euscepes postfasciatus	Coleoptera	Curculionidae	Dryophthorinae	Euscepes	None	Euscepes postfasciatus, the west Indian sweetpotato weevil, is a species of hidden snout weevil in the family Curculionidae. It is found in North America.	Wikipedia	None	None	None
Euschistus heros	Hemiptera	Pentatomidae	Pentatominae	Euschistus	brown stink bug	Euschistus heros is Neotropical species, widespread in South America. Currently it is considered a major soybean pest in Brazil and its importance increased since 1970 when it was a rare species. It is better adapted to warmer climates as Brazilian central region and Northern Paraná. Besides soybean, this pest attacks beans, cotton, sunflower and several other plant species such as those from the families Fabaceae and Brassicaceae.	Ísis Meri Medri@BY-NC	GCA_003667255.1	Contig	C:81.6%[S:78.4%,D:3.2%],F:3.7%,M:14.7%,n:1367
Euwallacea fornicatus	Coleoptera	Curculionidae	Scolytinae	Euwallacea	tea shot-hole borer or polyphagous shot-hole borer	Euwallacea fornicatus, also known as tea shot-hole borer, or polyphagous shot-hole borer is a species complex consisting of multiple cryptic species of ambrosia beetles known as an invasive species in California, Israel, South Africa, and Australia. The species has also been unintentionally introduced into exotic greenhouses in several European countries.	Wikipedia	None	None	None
Euwallacea perbrevis	Coleoptera	Curculionidae	Scolytinae	Euwallacea	None	Euwallacea perbrevis, commonly known as tea shot-hole borer, is a species of weevil native to South and South-East Asia through to Australia, but introduced to Western countries.	None	None	None	None
Exorista sorbillans	Diptera	Tachinidae	Exoristinae	Exorista	None	Exorista sorbillans, the uzi fly, is a species of bristly fly in the family Tachinidae that is a parasitoid of caterpillars and is a problem for silkworm rearing in tropical regions of South and Southeast Asia.	Gustavo Peña@CC BY-NC	None	None	None
Eysarcoris ventralis	Hemiptera	Pentatomidae	Pentatominae	Eysarcoris	None	Description is currently not available	Wikipedia	None	None	None
Ferrisia virgata	Hemiptera	Aleyrodidae	Aleyrodinae	Ferrisia	striped mealybug	Ferrisia virgata is a species of mealybug belonging to the Pseudococcidae family. Ferrisia virgata parasitizes different crops including cottonplants. Female species are between the 4 and 4,5 millimeters long. The species was discovered and described by Theodore Dru Alison Cockerell in 1893.	aubrey_moore@BY	GCA_900060175.1	Scaffold	C:94.0%[S:92.8%,D:1.2%],F:2.0%,M:4.0%,n:1367
Formica exsecta	Hymenoptera	Formicidae	Formicinae	Formica	narrow-headed ant or excised wood ant	Formica exsecta (the ) is a species of ant found from Western Europe to Asia.A rare formicine ant with a deeply excised head, F. exsecta forms small mounds up to around a foot in height consisting of much finer material than that used by true wood ants of the F. rufa group.An interesting feature of F. exsecta is that it occurs in two distinct social forms: either a monogyne form where the colony has a single egg-laying queen, or a polygyne form where many egg-laying queens are part of the same colony.	Vladimir Bryukhov@BY-NC	GCA_003651465.1	Scaffold	C:98.6%[S:95.2%,D:3.4%],F:0.8%,M:0.6%,n:1367
Frankliniella intonsa	Thysanoptera	Thripidae	Thripinae	Frankliniella	None	Description is currently not available	Wikipedia	GCA_033675135.1	Chromosome	C:99.57%[S:97.81%,D:1.76%],F:0.29%,M:0.15%,n:1367
Frankliniella occidentalis	Thysanoptera	Thripidae	Thripinae	Frankliniella	western flower thrips	Frankliniella occidentalis is an invasive pest insect in agriculture. This species of thrips is native to the Southwestern United States but has spread to other continents, including Europe, Australia (where it was identified in May 1993), and South America via transport of infested plant material. It has been documented to feed on over 500 different species of host plants, including a large number of fruit, vegetable, and ornamental crops. The adult male is about 1 mm long; the female is slightly larger, about 1.4 millimetres (1⁄16 in) in length.	Craig Chaddock@BY-NC	None	Scaffold	C:98.0%[S:96.7%,D:1.3%],F:1.0%,M:1.0%,n:1367
Franklinothrips vespiformis	Thysanoptera	Aeolothripidae	None	Franklinothrips	None	Franklinothrips vespiformis, the vespiform thrips, is a species of predatory thrip in the family Aeolothripidae. It is found in the Caribbean, Central America, North America, Oceania, South America, Southern Asia, and Europe. It has been used in biological control of Bemisia tabaci.	Wikipedia	None	None	None
Galleria mellonella	Lepidoptera	Pyralidae	Galleriinae	Galleria	greater wax moth or honeycomb moth	Galleria mellonella is a moth of the family Pyralidae. G. mellonella is found throughout the world. It is one of two species of wax moths, with the other being the lesser wax moth. G. mellonella eggs are laid in the spring, and they have four life stages. Males are able to generate ultrasonic sound pulses, which, along with pheromones, are used in mating. The larvae of G. mellonella are also often used as a model organism in research.	John Trent@BY-NC-ND	GCA_004355975.1	Contig	C:98.3%[S:96.8%,D:1.5%],F:0.3%,M:1.4%,n:1367
Gampsocleis gratiosa	Orthoptera	Anostostomatidae	Deinacridinae	Gampsocleis	None	Description is currently not available	Wikipedia	None	None	None
Geocoris proteus	Hemiptera	Lygaeidae	Geocoridae	Geocoris	None	Description is currently not available	Wikipedia	None	None	None
Georgecraigius atropalpus	Diptera	Glossinidae	None	Georgecraigius	None	Description is currently not available	Wikipedia	None	None	None
Globitermes sulphureus	Blattodea	Termitidae	Termitinae	Globitermes	None	Globitermes sulphureus is a species of termite that is very common in central and southern Vietnam and also present in other areas of South East Asia, including Cambodia, Thailand, and Peninsular Malaysia. They live in nests made of earth that can be up to 1.5 m tall and can contain tens of thousands of individuals. Between five and 10 per cent of the population are soldier termites which can be recognised by their yellow abdomen and two large, curved mandibles. The termites use autothysis as a defense mechanism.	Wikipedia	None	None	None
Glossina brevipalpis	Diptera	Glossinidae	None	Glossina	None	Glossina brevipalpis is widely scattered throughout eastern parts of Africa, from Ethiopia and Somalia in the north, to Mozambique and South Africa in the south. There is a large belt west of Lake Tanganyika, in Zaire. Ancestral vector of Animal African Trypanosomiasis (AAT).	Ricky Taylor@BY-NC	GCA_000671755.1	Scaffold	C:98.6%[S:96.2%,D:2.4%],F:0.8%,M:0.6%,n:1367
Glossina fuscipes fuscipes	Diptera	Glossinidae	None	Glossina	None	Description is currently not available	Wikipedia	None	None	None
Glossina morsitans	Diptera	Glossinidae	None	Glossina	None	Glossina morsitans is a species of tsetse fly in the genus Glossina. It is one of the major vectors of Trypanosoma brucei rhodesiense in African savannas.	Alan R Walker@BY-SA	None	Scaffold	C:99.1%[S:97.1%,D:2.0%],F:0.4%,M:0.5%,n:1367
Glossina morsitans morsitans	Diptera	Glossinidae	None	Glossina	None	Glossina morsitans is a species of tsetse fly . It is one of the major vectors of Trypanosoma brucei rhodesiense in African savannas.	Wikipedia	None	None	None
Glossina mortisans submortisans	Diptera	Glossinidae	None	Glossina	None	Description is currently not available	Wikipedia	None	None	None
Glossina palpalis	Diptera	Glossinidae	None	Glossina	None	Glossina palpalis lives in the more humid areas of West Africa, from Senegal to Cameroon, then south along the coast to Angola. In West Africa it penetrates further to the north in Mali and Senegal, than it does in Nigeria. In the part of its distribution from Cameroon to Angola, it has a long common boundary with G. fuscipes, with which there is little overlap. Vector of Trypanosoma brucei gambiense in West Africa.	Gustavo Pittaluga@CC0	GCA_000818775.1	Scaffold	C:97.9%[S:93.6%,D:4.3%],F:0.7%,M:1.4%,n:1367
Glossina sp.	Diptera	Glossinidae	Glossina	Glossina	None	Description is currently not available	Wikipedia	None	None	None
Gnoriste bilineata	Diptera	Mycetophilidae	Gnoristinae	Gnoriste	None	Description is currently not available	Wikipedia	GCA_026546565.1	Scaffold	C:95.46%[S:94.95%,D:0.51%],F:3.58%,M:0.95%,n:1367
Gonipterus platensis	Coleoptera	Curculionidae	Gonipterinae	Gonipterus	None	Gonipterus platensis is a species of weevil in the family Curculionidae. It is commonly known as the eucalyptus snout beetle, the eucalyptus weevil or the gum tree weevil. It feeds and breeds on Eucalyptus trees and is endemic to Australia, though it is also found in New Zealand, North America, Hawaii, and western Europe.	Wikipedia	None	None	None
Gossyparia spuria	Hemiptera	Eriococcidae	None	Gossyparia	None	Description is currently not available	Wikipedia	None	None	None
Graphium doson	Lepidoptera	Papilionidae	Papilioninae	Graphium	common jay	Graphium doson is a black, tropical papilionid (swallowtail) butterfly with pale blue semi-transparent central wing bands that are formed by large spots. There is a marginal series of smaller spots. The underside of wings is brown with markings similar to upperside but whitish in colour. The sexes look alike. The species was first described by father and son entomologists Cajetan and Rudolf Felder.	Subhendukhan@BY-SA	GCA_014048405.1	Scaffold	C:24.6%[S:24.2%,D:0.4%],F:31.8%,M:43.6%,n:1367
Graphocephala atropunctata	Hemiptera	Cicadellidae	Cicadellinae	Graphocephala	None	Graphocephala atropunctata, commonly known as the blue-green sharpshooter, is a hemipteran bug native to the United States west coast, as well as Arizona and New Mexico. It carries the phytopathogenic bacteria Xylella fastidiosa which infects the xylem of grape vines causing die-back – known as Pierce's disease. This leads to loss of productivity and economic damage to the California vineyards.	Wikipedia	None	None	None
Graphocephala coccinea	Hemiptera	Cicadellidae	Cicadellinae	Graphocephala	None	Graphocephala coccinea is a meadow and woodland-dwelling species of brightly colored leafhopper native to North and Central America, from Canada south to Panama. Common names include candy-striped leafhopper, red-banded leafhopper, scarlet-and-green leafhopper and red-and-blue leafhopper.	Wikipedia	None	None	None
