序号	记录类型	分类目	分类科	分类亚科	昆虫名称	共生体分类门	共生体分类目	共生体分类属	共生体分类级别	共生体分类阶元	共生体名称	种类	功能	功能标签	共生体序列数据	参考文献	doi号	期刊	出版年份	备注
123	Symbiont	Coleoptera	Curculionidae	Scolytinae	Dendroctonus valens	Ascomycota	Ophiostomatales	Leptographium	Genus	Leptographium	Leptographium procerum	Fungi	None	None	None	Modeling the pest-pathogen threats in a warming world for the red turpentine beetle (Dendroctonus valens) and its symbiotic fungus (Leptographium procerum)	10.1002/ps.8046	PEST MANAGEMENT SCIENCE	2024	None
124	Symbiont	Diptera	Simuliidae	Simuliinae	Prosimulium fungiforme	Zoopagomycota	Harpellales	Harpella	Genus	Harpella	Harpella melusinae	Fungi	None	None	None	North African Endemism: A New Species of Black Fly (Diptera: Simuliidae) from the Djurdjura Mountains of Algeria	10.3390/insects15030150	Insects	2024	None
125	Symbiont	Hemiptera	Largidae	None	Physopelta gutta	Pseudomonadota	Burkholderiales	Paraburkholderia	Genus	Paraburkholderia	Paraburkholderia largidicola	Bacteria	None	None	None	Paraburkholderia largidicola sp. nov., a gut symbiont of the bordered plant bug Physopelta gutta	10.1099/ijsem.0.006411	INTERNATIONAL JOURNAL OF SYSTEMATIC AND EVOLUTIONARY MICROBIOLOGY	2024	None
126	Amplicon	Lepidoptera	Cossidae	Zeuzerinae	Zeuzera coffeae	None	None	None	None	None	gut bacteria	Bacteria	None	None	SRR26381552-SRR26381571	Pecan secondary metabolites influenced the population of Zeuzera coffeae by affecting the structure and function of the larval gut microbiota	10.3389/fmicb.2024.1379488	FRONTIERS IN MICROBIOLOGY	2024	None
127	Symbiont	Coleoptera	Tenebrionidae	None	Tribolium castaneum	Pseudomonadota	Enterobacterales	Citrobacter	Genus	Citrobacter	Citrobacter freundii	Bacteria	may produce 4,8-dimethyldecanal (DMD) production that is strongly associated with attraction to females and host pheromone communication	Chemical biosynthesis	None	Population divergence in pheromone communication for mate choice of Tribolium castaneum and its association with gut bacteria	10.1007/s10340-023-01632-6	JOURNAL OF PEST SCIENCE	2024	None
128	Symbiont	Coleoptera	Tenebrionidae	None	Tribolium castaneum	Pseudomonadota	Enterobacterales	Escherichia	Genus	Escherichia	Escherichia coli	Bacteria	may produce 4,8-dimethyldecanal (DMD) production that is strongly associated with attraction to females and host pheromone communication	Chemical biosynthesis	None	Population divergence in pheromone communication for mate choice of Tribolium castaneum and its association with gut bacteria	10.1007/s10340-023-01632-6	JOURNAL OF PEST SCIENCE	2024	None
129	Symbiont	Diptera	Tephritidae	Dacinae	Ceratitis capitata	Pseudomonadota	Enterobacterales	Enterobacter	Genus	Enterobacter	Enterobacter	Bacteria	The intestinal microbiota structure was significantly influenced by the probiotic treatment while still maintaining a stable core dominant community of Enterobacteriacea. The  colony with these microbiome had the most improved potential functions in terms of gut microbes as well as the carbohydrates active enzymes most improved potential functions.	Probiotic	None	Probiotic consortium modulating the gut microbiota composition and function of sterile Mediterranean fruit flies	10.1038/s41598-023-50679-z	SCIENTIFIC REPORTS	2024	None
130	Symbiont	Diptera	Tephritidae	Dacinae	Ceratitis capitata	Pseudomonadota	Enterobacterales	Klebsiella	Genus	Klebsiella	Klebsiella oxytoca	Bacteria	The intestinal microbiota structure was significantly influenced by the probiotic treatment while still maintaining a stable core dominant community of Enterobacteriacea. The  colony with these microbiome had the most improved potential functions in terms of gut microbes as well as the carbohydrates active enzymes most improved potential functions.	Chemical biosynthesis	None	Probiotic consortium modulating the gut microbiota composition and function of sterile Mediterranean fruit flies	10.1038/s41598-023-50679-z	SCIENTIFIC REPORTS	2024	None
131	Symbiont	Diptera	Tephritidae	Dacinae	Ceratitis capitata	Bacillota	Lactobacillales	Lactococcus	Genus	Lactococcus	Lactococcus lactis	Bacteria	The intestinal microbiota structure was significantly influenced by the probiotic treatment while still maintaining a stable core dominant community of Enterobacteriacea. The  colony with these microbiome had the most improved potential functions in terms of gut microbes as well as the carbohydrates active enzymes most improved potential functions.	Chemical biosynthesis	PRJNA1006652	Probiotic consortium modulating the gut microbiota composition and function of sterile Mediterranean fruit flies	10.1038/s41598-023-50679-z	SCIENTIFIC REPORTS	2024	None
132	Symbiont	Hemiptera	Aleyrodidae	Aleyrodinae	Bemisia tabaci MED	Pseudomonadota	Rickettsiales	Rickettsia	Genus	Rickettsia	Rickettsia	Bacteria	Rickettsia infection resulted in increased whitefly fecundity and female bias by stimulating juvenile hormone synthesis. The production of more female progeny facilitates Rickettsia transmission	Nutrient provision	None	Rickettsia symbionts spread via mixed mode transmission, increasing female fecundity and sex ratio shift by host hormone modulating	10.1073/pnas.2406788121	Proceedings of the National Academy of Sciences	2024	None
133	Symbiont	Blattodea	Blaberidae	Panesthiinae	Panesthiinae	Bacteroidota	Flavobacteriales	Blattabacterium	Genus	Blattabacterium	Blattabacterium cuenoti	Bacteria	enables hosts to subsist on a nutrient-poor diet; endosymbiont genome erosions are associated with repeated host transitions to an underground life	Nutrient provision	None	Shrinking in the dark: Parallel endosymbiont genome erosions are associated with repeated host transitions to an underground life	10.1111/1744-7917.13339	INSECT SCIENCE	2024	None
134	Symbiont	Lepidoptera	Noctuidae	Amphipyrinae	Spodoptera frugiperda	Pseudomonadota	Sphingomonadales	Sphingomonas	Genus	Sphingomonas	Sphingomonas sp.	Bacteria	provide a protective effect to against chlorantraniliprole stress to S. frugiperda	Pesticide metabolization	OR349624	Sphingomonas bacteria could serve as an early bioindicator for the development of chlorantraniliprole resistance in Spodoptera frugiperda	10.1016/j.pestbp.2024.105891	PESTICIDE BIOCHEMISTRY AND PHYSIOLOGY	2024	None
135	Symbiont	Coleoptera	Coccinellidae	Coccinellinae	Coccinella septempunctata	Pseudomonadota	Hyphomicrobiales	Bradyrhizobium	Genus	Bradyrhizobium	Bradyrhizobium	Bacteria	be commonly found in plant roots and they all have nitrogen fixation abilities	Plant defense	None	Stable composition of gut microbiome in the Asian ladybeetle Coccinella septempunctata reared on natural and artificial diets	10.1038/s41598-023-49885-6	SCIENTIFIC REPORTS	2024	None
136	Symbiont	Coleoptera	Coccinellidae	Coccinellinae	Coccinella septempunctata	Pseudomonadota	Burkholderiales	Burkholderia	Genus	Burkholderia	Burkholderia	Bacteria	be commonly found in plant roots and they all have nitrogen fixation abilities,and may be able to trigger the expression of genes associated with disease resistance	Plant defense	None	Stable composition of gut microbiome in the Asian ladybeetle Coccinella septempunctata reared on natural and artificial diets	10.1038/s41598-023-49885-6	SCIENTIFIC REPORTS	2024	None
137	Symbiont	Coleoptera	Coccinellidae	Coccinellinae	Coccinella septempunctata	Pseudomonadota	Hyphomicrobiales	Methylovirgula	Genus	Methylovirgula	Methylovirgula	Bacteria	Methylovirgula is ubiquitous in soil and has been found in many soil samples as a major species producing carbon activity, scholars have found that the microorganism has the highest content in mixed peat swamp forest systems and has the effect of harnessing and reducing methane	None	None	Stable composition of gut microbiome in the Asian ladybeetle Coccinella septempunctata reared on natural and artificial diets	10.1038/s41598-023-49885-6	SCIENTIFIC REPORTS	2024	None
138	Symbiont	Coleoptera	Coccinellidae	Coccinellinae	Coccinella septempunctata	Pseudomonadota	Rhodobacterales	Rhodobacter	Genus	Rhodobacter	Rhodobacter	Bacteria	Rhodanobacter genera can utilize various carbon sources, including cellobiose. In larvae of longhorned beetles that feed on plants rich in carbohydrates (cellulose and hemicellulose) and lignin, Rhodanobacter can help the larvae digest more carbon nutrients through carbon sequestration	Digestive enzymes	None	Stable composition of gut microbiome in the Asian ladybeetle Coccinella septempunctata reared on natural and artificial diets	10.1038/s41598-023-49885-6	SCIENTIFIC REPORTS	2024	None
139	Symbiont	Coleoptera	Tenebrionidae	Tenebrioninae	Tenebrio molitor	Pseudomonadota	Lysobacterales	Stenotrophomonas	Genus	Stenotrophomonas	Stenotrophomonas maltophilia	Bacteria	correlated with polyvinyl chloride PVC degradation	Plastic degradation	MK300721	Stenotrophomonas maltophilia Isolated from the Gut Symbiotic Community of the Plastic-Eating Tenebrio molitor	10.1007/s12010-024-04921-7	APPLIED BIOCHEMISTRY AND BIOTECHNOLOGY	2024	None
140	Symbiont	Hemiptera	Delphacidae	Delphacinae	Nilaparvata lugens	Pseudomonadota	Moraxellales	Acinetobacter	Genus	Acinetobacter	Acinetobacter	Bacteria	Acinetobacter can effectively degrade cellulose and harmful substances such as polystyrene and phenol.It can help the short-winged BPH to improve its detoxification ability in harsh environments and adapt to environmental changes at any time.	Reproductive manipulation	SAMN38747257,SAMN38747258,SAMN38747259,SAMN38747260,SAMN38747261,SAMN38747262,SAMN38747263,SAMN38747264,SAMN38747265,SAMN38747266,SAMN38747267，SAMN38747268,SAMN37988708,SAMN37988710,SAMN37988697,SAMN37988582,SAMN37988448,SAMN37987560,SAMN37934494,SAMN37934487,SAMN37934485,SAMN37934484,SAMN37934473,SAMN37933095	Study on the gut symbiotic microbiota in long- and short-winged brown planthopper, Nilaparvata lugens (Stal)	10.1038/s41598-024-62350-2	SCIENTIFIC REPORTS	2024	None
141	Symbiont	Hemiptera	Delphacidae	Delphacinae	Nilaparvata lugens	Ascomycota	Serinales	Candida	Genus	Candida	Candida	Fungi	Candida can provide amino acids, sterols and other substances for the host and can produce a variety of detoxification enzymes to make the BPHs immune to insecticides, mycotoxins and phytotoxins	Antimicrobials,Fungal farming	SAMN38747257,SAMN38747258,SAMN38747259,SAMN38747260,SAMN38747261,SAMN38747262,SAMN38747263,SAMN38747264,SAMN38747265,SAMN38747266,SAMN38747267，SAMN38747268,SAMN37988708,SAMN37988710,SAMN37988697,SAMN37988582,SAMN37988448,SAMN37987560,SAMN37934494,SAMN37934487,SAMN37934485,SAMN37934484,SAMN37934473,SAMN37933095	Study on the gut symbiotic microbiota in long- and short-winged brown planthopper, Nilaparvata lugens (Stal)	10.1038/s41598-024-62350-2	SCIENTIFIC REPORTS	2024	None
142	Symbiont	Hemiptera	Delphacidae	Delphacinae	Nilaparvata lugens	Ascomycota	Hypocreales	None	Order	Hypocreales	unclassified_Hypocreales	Fungi	None	None	None	Study on the gut symbiotic microbiota in long- and short-winged brown planthopper, Nilaparvata lugens (Stal)	10.1038/s41598-024-62350-2	SCIENTIFIC REPORTS	2024	None
143	Symbiont	Hemiptera	Delphacidae	Delphacinae	Nilaparvata lugens	None	None	None	None	None	Yeast-like symbionts (YLS)	Fungi	can use glutamine and other raw materials for the synthesis of essential amino acids, so as to supplement the BPH with amino acids that are missing in food or cannot be synthesized by itself, and the difference in nutrients can affect the difference in wing type differentiation.	Nutrient provision	None	Study on the gut symbiotic microbiota in long- and short-winged brown planthopper, Nilaparvata lugens (Stal)	10.1038/s41598-024-62350-2	SCIENTIFIC REPORTS	2024	None
144	Symbiont	Hemiptera	Delphacidae	Delphacinae	Nilaparvata lugens	Pseudomonadota	Enterobacterales	Serratia	Genus	Serratia	Serratia	Bacteria	Serratia may be related to the virulence variation of BPHs. It is speculated that the rich Serratia in the gut of the long-winged BPH can help it adapt to the harsh environment.	Chemical biosynthesis	SAMN38747257,SAMN38747258,SAMN38747259,SAMN38747260,SAMN38747261,SAMN38747262,SAMN38747263,SAMN38747264,SAMN38747265,SAMN38747266,SAMN38747267，SAMN38747268,SAMN37988708,SAMN37988710,SAMN37988697,SAMN37988582,SAMN37988448,SAMN37987560,SAMN37934494,SAMN37934487,SAMN37934485,SAMN37934484,SAMN37934473,SAMN37933095	Study on the gut symbiotic microbiota in long- and short-winged brown planthopper, Nilaparvata lugens (Stal)	10.1038/s41598-024-62350-2	SCIENTIFIC REPORTS	2024	None
145	Amplicon	Hemiptera	Tessaratomidae	None	Tessaratoma javanica	None	None	None	None	None	gut bacteria	Bacteria	None	None	SRX20590999-SRX20591023	Substantially altered bacterial diversity associated with developmental stages of litchi stink bug, Tessaratoma javanica (Thunberg) (Hemiptera: Tessaratomidae)	10.1016/j.heliyon.2024.e32384	HELIYON	2024	None
146	Amplicon	Hymenoptera	Apidae	Apinae	Anthophora bomboides	None	None	None	None	None	brood microbiome	Bacteria and Fungi	provide key fitness advantages through larval development and diapause	Growth and Development	https://datadryad.org/stash/dataset/doi:10.5061/dryad.gtht76ht1	Symbiotic bacteria and Fungi proliferate in diapause and may enhance overwintering survival in a solitary bee	10.1093/ismejo/wrae089	ISME JOURNAL	2024	None
147	Symbiont	Lepidoptera	Pyralidae	Galleriinae	Oligia apameoides	Pseudomonadota	Moraxellales	Acinetobacter	Genus	Acinetobacter	Acinetobacter	Bacteria	None	None	PRJNA1045400	Symbiotic Bacterial Communities of Insects Feeding on the Same Plant Lineage: Distinct Composition but Congruent Function	10.3390/insects15030187	Insects	2024	None
148	Symbiont	Hemiptera	Hormaphididae	None	Pseudoregma bambucicola	Pseudomonadota	Enterobacterales	Buchnera	Genus	Buchnera	Buchnera	Bacteria	supply nutrient	Nutrient provision	PRJNA1045400	Symbiotic Bacterial Communities of Insects Feeding on the Same Plant Lineage: Distinct Composition but Congruent Function	10.3390/insects15030187	Insects	2024	None
149	Symbiont	Hemiptera	Aleyrodidae	Aleyrodinae	Purohita taiwanensis	Pseudomonadota	Enterobacterales	Buchnera	Genus	Buchnera	Buchnera	Bacteria	supply nutrient	Nutrient provision	PRJNA1045400	Symbiotic Bacterial Communities of Insects Feeding on the Same Plant Lineage: Distinct Composition but Congruent Function	10.3390/insects15030187	Insects	2024	None
150	Symbiont	Hemiptera	Aleyrodidae	Aleyrodinae	Takecallis taiwana	Pseudomonadota	Enterobacterales	Buchnera	Genus	Buchnera	Buchnera	Bacteria	supply nutrient	Nutrient provision	PRJNA1045400	Symbiotic Bacterial Communities of Insects Feeding on the Same Plant Lineage: Distinct Composition but Congruent Function	10.3390/insects15030187	Insects	2024	None
151	Symbiont	Hemiptera	Aleyrodidae	Aleyrodinae	Ceratovacuna keduensis	Pseudomonadota	Enterobacterales	Buchnera	Genus	Buchnera	Buchnera	Bacteria	supply nutrient	Nutrient provision	PRJNA1045400	Symbiotic Bacterial Communities of Insects Feeding on the Same Plant Lineage: Distinct Composition but Congruent Function	10.3390/insects15030187	Insects	2024	None
152	Symbiont	Hemiptera	Aleyrodidae	Aleyrodinae	Antonina pretiosa	Pseudomonadota	Enterobacterales	Buchnera	Genus	Buchnera	Buchnera	Bacteria	supply nutrient	Nutrient provision	PRJNA1045400	Symbiotic Bacterial Communities of Insects Feeding on the Same Plant Lineage: Distinct Composition but Congruent Function	10.3390/insects15030187	Insects	2024	None
153	Symbiont	Blattodea	Rhinotermitidae	Heterotermitinae	Reticulitermes flaviceps	Pseudomonadota	Enterobacterales	Buchnera	Genus	Buchnera	Buchnera	Bacteria	supply nutrient	Nutrient provision	PRJNA1045400	Symbiotic Bacterial Communities of Insects Feeding on the Same Plant Lineage: Distinct Composition but Congruent Function	10.3390/insects15030187	Insects	2024	None
154	Symbiont	Hemiptera	Hormaphididae	None	Pseudoregma bambucicola	Pseudomonadota	None	Candidatus Vidania	Genus	Candidatus Vidania	Candidatus Vidania	Bacteria	None	None	PRJNA1045400	Symbiotic Bacterial Communities of Insects Feeding on the Same Plant Lineage: Distinct Composition but Congruent Function	10.3390/insects15030187	Insects	2024	None
155	Symbiont	Hemiptera	Aleyrodidae	Aleyrodinae	Purohita taiwanensis	Pseudomonadota	None	Candidatus Vidania	Genus	Candidatus Vidania	Candidatus Vidania	Bacteria	None	None	PRJNA1045400	Symbiotic Bacterial Communities of Insects Feeding on the Same Plant Lineage: Distinct Composition but Congruent Function	10.3390/insects15030187	Insects	2024	None
156	Symbiont	Hemiptera	Aleyrodidae	Aleyrodinae	Tropidocephala brunnipennis	Pseudomonadota	None	Candidatus Vidania	Genus	Candidatus Vidania	Candidatus Vidania	Bacteria	None	None	PRJNA1045400	Symbiotic Bacterial Communities of Insects Feeding on the Same Plant Lineage: Distinct Composition but Congruent Function	10.3390/insects15030187	Insects	2024	None
157	Symbiont	Hemiptera	Aleyrodidae	Aleyrodinae	Antonina pretiosa	Pseudomonadota	None	Candidatus Vidania	Genus	Candidatus Vidania	Candidatus Vidania	Bacteria	None	None	PRJNA1045400	Symbiotic Bacterial Communities of Insects Feeding on the Same Plant Lineage: Distinct Composition but Congruent Function	10.3390/insects15030187	Insects	2024	None
158	Symbiont	Lepidoptera	Pyralidae	Galleriinae	Oligia apameoides	Pseudomonadota	Enterobacterales	Klebsiella	Genus	Klebsiella	Klebsiella	Bacteria	None	None	PRJNA1045400	Symbiotic Bacterial Communities of Insects Feeding on the Same Plant Lineage: Distinct Composition but Congruent Function	10.3390/insects15030187	Insects	2024	None
159	Symbiont	Hemiptera	Hormaphididae	None	Pseudoregma bambucicola	Pseudomonadota	Hyphomicrobiales	None	Family	Rhizobiaceae	Rhizobiaceae	Bacteria	None	None	PRJNA1045400	Symbiotic Bacterial Communities of Insects Feeding on the Same Plant Lineage: Distinct Composition but Congruent Function	10.3390/insects15030187	Insects	2024	None
160	Symbiont	Hemiptera	Aleyrodidae	Aleyrodinae	Purohita taiwanensis	Pseudomonadota	Hyphomicrobiales	None	Family	Rhizobiaceae	Rhizobiaceae	Bacteria	None	None	PRJNA1045400	Symbiotic Bacterial Communities of Insects Feeding on the Same Plant Lineage: Distinct Composition but Congruent Function	10.3390/insects15030187	Insects	2024	None
161	Symbiont	Hemiptera	Aleyrodidae	Aleyrodinae	Tropidocephala brunnipennis	Pseudomonadota	Hyphomicrobiales	None	Family	Rhizobiaceae	Rhizobiaceae	Bacteria	None	None	PRJNA1045400	Symbiotic Bacterial Communities of Insects Feeding on the Same Plant Lineage: Distinct Composition but Congruent Function	10.3390/insects15030187	Insects	2024	None
162	Symbiont	Hemiptera	Aleyrodidae	Aleyrodinae	Antonina pretiosa	Pseudomonadota	Hyphomicrobiales	None	Family	Rhizobiaceae	Rhizobiaceae	Bacteria	None	None	PRJNA1045400	Symbiotic Bacterial Communities of Insects Feeding on the Same Plant Lineage: Distinct Composition but Congruent Function	10.3390/insects15030187	Insects	2024	None
163	Symbiont	Blattodea	Rhinotermitidae	Heterotermitinae	Reticulitermes flaviceps	Pseudomonadota	Hyphomicrobiales	None	Family	Rhizobiaceae	Rhizobiaceae	Bacteria	None	None	PRJNA1045400	Symbiotic Bacterial Communities of Insects Feeding on the Same Plant Lineage: Distinct Composition but Congruent Function	10.3390/insects15030187	Insects	2024	None
164	Symbiont	Hemiptera	Hormaphididae	None	Pseudoregma bambucicola	Pseudomonadota	Enterobacterales	Serratia	Genus	Serratia	Serratia	Bacteria	defending its host insect against various adverse conditions	None	PRJNA1045400	Symbiotic Bacterial Communities of Insects Feeding on the Same Plant Lineage: Distinct Composition but Congruent Function	10.3390/insects15030187	Insects	2024	None
165	Symbiont	Hemiptera	Aleyrodidae	Aleyrodinae	Ceratovacuna keduensis	Pseudomonadota	Enterobacterales	Serratia	Genus	Serratia	Serratia	Bacteria	defending its host insect against various adverse conditions	None	PRJNA1045400	Symbiotic Bacterial Communities of Insects Feeding on the Same Plant Lineage: Distinct Composition but Congruent Function	10.3390/insects15030187	Insects	2024	None
166	Symbiont	Lepidoptera	Pyralidae	Galleriinae	Oligia apameoides	Pseudomonadota	Enterobacterales	Serratia	Genus	Serratia	Serratia	Bacteria	defending its host insect against various adverse conditions	None	PRJNA1045400	Symbiotic Bacterial Communities of Insects Feeding on the Same Plant Lineage: Distinct Composition but Congruent Function	10.3390/insects15030187	Insects	2024	None
167	Symbiont	Hemiptera	Hormaphididae	None	Pseudoregma bambucicola	Pseudomonadota	Sphingomonadales	Sphingomonas	Genus	Sphingomonas	Sphingomonas	Bacteria	None	None	PRJNA1045400	Symbiotic Bacterial Communities of Insects Feeding on the Same Plant Lineage: Distinct Composition but Congruent Function	10.3390/insects15030187	Insects	2024	None
168	Symbiont	Lepidoptera	Pyralidae	Galleriinae	Oligia apameoides	Pseudomonadota	Sphingomonadales	Sphingomonas	Genus	Sphingomonas	Sphingomonas	Bacteria	None	None	PRJNA1045400	Symbiotic Bacterial Communities of Insects Feeding on the Same Plant Lineage: Distinct Composition but Congruent Function	10.3390/insects15030187	Insects	2024	None
169	Symbiont	Blattodea	Rhinotermitidae	Heterotermitinae	Reticulitermes flaviceps	Spirochaetota	Spirochaetales	Treponema	Genus	Treponema	Treponema	Bacteria	None	None	PRJNA1045400	Symbiotic Bacterial Communities of Insects Feeding on the Same Plant Lineage: Distinct Composition but Congruent Function	10.3390/insects15030187	Insects	2024	None
170	Symbiont	Hemiptera	Hormaphididae	None	Pseudoregma bambucicola	Pseudomonadota	Rickettsiales	Wolbachia	Genus	Wolbachia	Wolbachia	Bacteria	influences the reproduction of its hosts to facilitate its proliferation and transmission	Fertility	PRJNA1045400	Symbiotic Bacterial Communities of Insects Feeding on the Same Plant Lineage: Distinct Composition but Congruent Function	10.3390/insects15030187	Insects	2024	None
171	Symbiont	Hemiptera	Aleyrodidae	Aleyrodinae	Purohita taiwanensis	Pseudomonadota	Rickettsiales	Wolbachia	Genus	Wolbachia	Wolbachia	Bacteria	influences the reproduction of its hosts to facilitate its proliferation and transmission	Fertility	PRJNA1045400	Symbiotic Bacterial Communities of Insects Feeding on the Same Plant Lineage: Distinct Composition but Congruent Function	10.3390/insects15030187	Insects	2024	None
172	Symbiont	Hemiptera	Aleyrodidae	Aleyrodinae	Tropidocephala brunnipennis	Pseudomonadota	Rickettsiales	Wolbachia	Genus	Wolbachia	Wolbachia	Bacteria	influences the reproduction of its hosts to facilitate its proliferation and transmission	Fertility	PRJNA1045400	Symbiotic Bacterial Communities of Insects Feeding on the Same Plant Lineage: Distinct Composition but Congruent Function	10.3390/insects15030187	Insects	2024	None
173	Symbiont	Hemiptera	Aleyrodidae	Aleyrodinae	Antonina pretiosa	Pseudomonadota	Rickettsiales	Wolbachia	Genus	Wolbachia	Wolbachia	Bacteria	influences the reproduction of its hosts to facilitate its proliferation and transmission	Fertility	PRJNA1045400	Symbiotic Bacterial Communities of Insects Feeding on the Same Plant Lineage: Distinct Composition but Congruent Function	10.3390/insects15030187	Insects	2024	None
174	Symbiont	Hymenoptera	Apidae	Apinae	Apis mellifera	Actinomycetota	Bifidobacteriales	Bifidobacterium	Genus	Bifidobacterium	Bifidobacterium asteroides	Bacteria	Bifidobacterium provides complementary demethylation service to promote Gilliamella growth on methylated homogalacturonan, an enriched polysaccharide of pectin. In exchange, Gilliamella shares digestive products with Bifidobacterium, through which a positive interaction is established	Immune priming,Fertility	None	Synergistic pectin deconstruction is a prerequisite for mutualistic interactions between honeybee gut bacteria	10.1038/s41467-024-51365-y	Nature Communications	2024	None
175	Symbiont	Hymenoptera	Apidae	Apinae	Apis cerana	Actinomycetota	Bifidobacteriales	Bifidobacterium	Genus	Bifidobacterium	Bifidobacterium asteroides	Bacteria	Bifidobacterium provides complementary demethylation service to promote Gilliamella growth on methylated homogalacturonan, an enriched polysaccharide of pectin. In exchange, Gilliamella shares digestive products with Bifidobacterium, through which a positive interaction is established	Immune priming,Fertility	None	Synergistic pectin deconstruction is a prerequisite for mutualistic interactions between honeybee gut bacteria	10.1038/s41467-024-51365-y	Nature Communications	2024	None
176	Symbiont	Hymenoptera	Apidae	Apinae	Apis mellifera	Pseudomonadota	Orbales	Gilliamella	Genus	Gilliamella	Gilliamella apicola	Bacteria	Bifidobacterium provides complementary demethylation service to promote Gilliamella growth on methylated homogalacturonan, an enriched polysaccharide of pectin. In exchange, Gilliamella shares digestive products with Bifidobacterium, through which a positive interaction is established	Immune priming,Fertility	None	Synergistic pectin deconstruction is a prerequisite for mutualistic interactions between honeybee gut bacteria	10.1038/s41467-024-51365-y	Nature Communications	2024	None
177	Symbiont	Hymenoptera	Apidae	Apinae	Apis cerana	Pseudomonadota	Orbales	Gilliamella	Genus	Gilliamella	Gilliamella apicola	Bacteria	Bifidobacterium provides complementary demethylation service to promote Gilliamella growth on methylated homogalacturonan, an enriched polysaccharide of pectin. In exchange, Gilliamella shares digestive products with Bifidobacterium, through which a positive interaction is established	Immune priming,Fertility	None	Synergistic pectin deconstruction is a prerequisite for mutualistic interactions between honeybee gut bacteria	10.1038/s41467-024-51365-y	Nature Communications	2024	None
178	Symbiont	Lepidoptera	Noctuidae	Amphipyrinae	Spodoptera frugiperda	Pseudomonadota	Rickettsiales	Wolbachia	Genus	Wolbachia	Wolbachia	Bacteria	inducing cytoplasmic incompatibility	Reproductive manipulation	OR268559	The Diversity of Wolbachia and Other Bacterial Symbionts in Spodoptera frugiperda	10.3390/insects15040217	Insects	2024	None
179	Symbiont	Hemiptera	Aphididae	Aphidinae	Acyrthosiphon pisum	Pseudomonadota	Enterobacterales	Serratia	Genus	Serratia	Serratia symbiotica	Bacteria	harboring Serratia improved host aphid growth and fecundity but reduced longevity. Serratia defends aphids against P. japonica by impeding the predator's development and predation capacity, and modulating its foraging behavior	Growth and Development,Fertility,Natural enemy resistance	None	The endosymbiont Serratia symbiotica improves aphid fitness by disrupting the predation strategy of ladybeetle larvae	10.1111/1744-7917.13315	INSECT SCIENCE	2024	None
180	Symbiont	Hemiptera	Aphididae	Aphidinae	Acyrthosiphon pisum	Pseudomonadota	Enterobacterales	Serratia	Genus	Serratia	Serratia	Bacteria	Serratia defends aphids against P. japonica by impeding the predator's development and predation capacity, and modulating its foraging behavior	Natural enemy resistance	None	The endosymbiont Serratia symbiotica improves aphid fitness by disrupting the predation strategy of ladybeetle larvae	10.1111/1744-7917.13315	Insect Science	2024	None
181	Amplicon	Coleoptera	Curculionidae	Scolytinae	Ips typographus	None	None	None	None	None	gut bacterial and fungal communities	Bacteria and Fungi	None	None	SRR27416533-SRR27416742	The Eurasian spruce bark beetle Ips typographus shapes the microbial communities of its offspring and the gallery environment	10.3389/fmicb.2024.1367127	FRONTIERS IN MICROBIOLOGY	2024	None
182	Symbiont	Lepidoptera	Noctuidae	Amphipyrinae	Spodoptera frugiperda	Pseudomonadota	Enterobacterales	Pantoea	Genus	Pantoea	Pantoea dispersa	Bacteria	detoxify benzoxazinoids (secondary metabolites produced by maize) and promote caterpillar growth	Pathogen interaction	None	The fall armyworm converts maize endophytes into its own probiotics to detoxify benzoxazinoids and promote caterpillar growth	10.1186/s40168-024-01957-z	Microbiome	2024	None
183	Symbiont	Hemiptera	Aleyrodidae	Aleyrodinae	Peregrinus maidis	Pseudomonadota	Enterobacterales	Arsenophonus	Genus	Arsenophonus	Pm Arsenophonus sp	Bacteria	threonine and lysine production is carried out solely by Pm Arsenophonus sp	Nutrient provision	None	The Genome of Arsenophonus sp. and Its Potential Contribution in the Corn Planthopper, Peregrinus maidis	10.3390/insects15020113	Insects	2024	None
184	Symbiont	Diptera	Drosophilidae	Drosophilinae	Drosophila melanogaster	Pseudomonadota	Rhodospirillales	Acetobacter	Genus	Acetobacter	Acetobacter	Bacteria	enhancing the brain levels of tyrosine decarboxylase 2 (Tdc2), which is an enzyme that synthesizes octopamine (OA)	None	None	The gut microbiome promotes locomotion of Drosophila larvae via octopamine signaling	10.1111/1744-7917.13370	INSECT SCIENCE	2024	None
185	Symbiont	Diptera	Drosophilidae	Drosophilinae	Drosophila melanogaster	Bacillota	Lactobacillales	Lactobacillus	Genus	Lactobacillus	Lactobacillus	Bacteria	enhancing the brain levels of tyrosine decarboxylase 2 (Tdc2), which is an enzyme that synthesizes octopamine (OA)	None	None	The gut microbiome promotes locomotion of Drosophila larvae via octopamine signaling	10.1111/1744-7917.13370	INSECT SCIENCE	2024	None
186	Amplicon	Hemiptera	Alydidae	None	Riptortus pedestris	None	None	None	None	None	gut bacteria	Bacteria	None	None	SRX23117038-SRX23117247	The plant-sucking insect selects assembly of the gut microbiota from environment to enhance host reproduction	10.1038/s41522-024-00539-z	npj Biofilms and Microbiomes	2024	None
