Insect Species	Order	Family	Subfamily	Genus
Leptinotarsa decemlineata	Coleoptera	Chrysomelidae	Chrysomelinae	Leptinotarsa
Leptocorisa acuta	Hemiptera	Alydidae	None	Leptocorisa
Leptocorisa chinensis	Hemiptera	Alydidae	None	Leptocorisa
Leptocorisa oratoria	Hemiptera	Alydidae	None	Leptocorisa
Leptocybe invasa	Hymenoptera	Eulophidae	Tetrastichinae	Leptocybe
Leptoglossus australis	Hemiptera	Coreidae	None	Leptoglossus
Leptoglossus occidentalis	Hemiptera	Coreidae	Coreinae	Leptoglossus
Leptoglossus phyllopus	Hemiptera	Coreidae	Coreinae	Leptoglossus
Leptoglossus zonatus	Hemiptera	Coreidae	Coreinae	Leptoglossus
Leptura ochraceofasciata	Coleoptera	Cerambycidae	Lepturinae	Leptura
Lethaeus assamensis	Hemiptera	Rhyparochromidae	None	Lethaeus
Limnogonus franciscanus	Hemiptera	Gerridae	Gerrinae	Limnogonus
linachtus bicoloripes	Hemiptera	Coreidae	None	linachtus
Liometopum apiculatum	Hymenoptera	Formicidae	Dolichoderinae	Liometopum
Lipoptena cervi	Diptera	Hippoboscidae	Lipopteninae	Lipoptena
Lissorhoptrus oryzophilus	Coleoptera	Erirhinidae	Erirhininae	Lissorhoptrus
Listrus sp.	Coleoptera	Melyridae	Dasytinae	Listrus
Llaveia axin axin	Hemiptera	Monophlebidae	None	Llaveia
Lobesia botrana	Lepidoptera	Tortricidae	Olethreutinae	Lobesia
Locusta migratoria	Orthoptera	Acrididae	Oedipodinae	Locusta
Loxoblemmus angulatus	Orthoptera	Gryllidae	Gryllinae	Loxoblemmus
Loxoblemmus doenitzi	Orthoptera	Gryllidae	Gryllinae	Loxoblemmus
Loxoblemmus jacobsoni	Orthoptera	Gryllidae	Gryllinae	Loxoblemmus
Loxoblemmus montanus	Orthoptera	Gryllidae	Gryllinae	Loxoblemmus
Loxoblemmus sp.	Orthoptera	Gryllidae	Gryllinae	Loxoblemmus
Loxoblemmus taicoun	Orthoptera	Gryllidae	Gryllinae	Loxoblemmus
Lutzomyia evansi	Diptera	Psychodidae	Phlebotominae	Lutzomyia
Lycoriella ingenua	Diptera	Glossinidae	None	Lycoriella
Lyctus brunneus	Coleoptera	Bostrichidae	Lyctinae	Lyctus
Lymantria dispar	Lepidoptera	Erebidae	Lymantriinae	Lymantria
Lymantria dispar asiatica	Lepidoptera	Erebidae	Lymantriinae	Lymantria
Lysiphlebus fabarum	Hymenoptera	Braconidae	Aphidiinae	Lysiphlebus
Maconellicoccus australiensis	Hemiptera	Pseudococcidae	None	Maconellicoccus
Maconellicoccus hirsutus	Hemiptera	Pseudococcidae	None	Maconellicoccus
Macrohomotoma gladiata	Hemiptera	Carsidaridae	Homotominae	Macrohomotoma
Macroplea appendiculata	Coleoptera	Chrysomelidae	Donaciinae	Macroplea
Macroplea mutica	Coleoptera	Chrysomelidae	Donaciinae	Macroplea
Macrosiphum euphorbiae	Hemiptera	Aphididae	Aphidinae	Macrosiphum
Macrosteles quadrilineatus	Hemiptera	Aleyrodidae	Aleyrodinae	Macrosteles
Macrosteles sexnotatus	Hemiptera	Cicadellidae	Deltocephalinae	Macrosteles
Macrosteles striifrons	Hemiptera	Cicadellidae	Deltocephalinae	Macrosteles
Macrotermes natalensis	Blattodea	Termitidae	Macrotermitinae	Macrotermes
Maculinea alcon	Lepidoptera	Lycaenidae	Polyommatinae	Maculinea
Maiestas dorsalis	Hemiptera	Aleyrodidae	Aleyrodinae	Maiestas
Malcus japonicus	Hemiptera	Malcidae	Malcidae	Malcus
Manduca sexta	Lepidoptera	Pyralidae	Galleriinae	Manduca
Mastotermes darwiniensis	Blattodea	Mastotermitidae	None	Mastotermes
Maximus mimosae	Coleoptera	Curculionidae	Lixinae	Maximus
Mayetiola destructor	Diptera	Cecidomyiidae	Cecidomyiinae	Mayetiola
Mayetiola hordei	Diptera	Cecidomyiidae	Cecidomyiinae	Mayetiola
Megacopta punctatissima	Hemiptera	Plataspidae	None	Megacopta
Megacopta punctatissima	Hemiptera	Aleyrodidae	Aleyrodinae	Megacopta
Megalotomus costalis	Hemiptera	Alydidae	None	Megalotomus
Megymenum gracilicorne	Hemiptera	Dinidoridae	None	Megymenum
Meimuna mongolica	Hemiptera	Cicadidae	Cicadinae	Meimuna
Melanaphis bambusae	Hemiptera	Aleyrodidae	Aleyrodinae	Melanaphis
Melanaphis sacchari	Hemiptera	Aleyrodidae	Aleyrodinae	Melanaphis
Melanococcus albizziae	Hemiptera	Pseudococcidae	None	Melanococcus
Melitaea cinxia	Lepidoptera	Pyralidae	Galleriinae	Melitaea
Melolontha hippocastani	Coleoptera	Scarabaeidae	Melolonthinae	Melolontha
Melolontha melolontha	Coleoptera	Scarabaeidae	Melolonthinae	Melolontha
Melophagus ovinus	Diptera	Glossinidae	None	Melophagus
Menacanthus eurysternus	Phthiraptera	Pediculidae	None	Menacanthus
Menecleonus virgatus	Coleoptera	Curculionidae	Lixinae	Menecleonus
Messor structor	Hymenoptera	Formicidae	Pseudomyrmecinae	Messor
Metapocyrtus yonagunianus	Coleoptera	Curculionidae	Curculioninae	Metapocyrtus
Metatropis rufescens	Hemiptera	Berytidae	Metacanthinae	Metatropis
Metochus abbreviatus	Hemiptera	Rhyparochromidae	None	Metochus
Metopolophium dirhodum	Hemiptera	Aphididae	Aphidinae	Metopolophium
Metrioptera engelhardti	Orthoptera	Tettigonioidea	Tettigoniinae	Metrioptera
Mitius minor	Orthoptera	Gryllidae	Gryllinae	Mitius
Molipteryx fuliginosa	Hemiptera	Coreidae	None	Molipteryx
Mollitrichosiphum	Hemiptera	Aphididae	Greenideinae	Mollitrichosiphum
Monochamus alternatus	Coleoptera	Cerambycidae	Lamiinae	Monochamus
Monochamus galloprovincialis	Coleoptera	Cerambycidae	Lamiinae	Monochamus
mud dauber wasp	Hymenoptera	None	None	mud
Musca altica	Diptera	Muscidae	Muscinae	Musca
Musca domestica	Diptera	Muscidae	Muscinae	Musca
Muscidifurax uniraptor	Hymenoptera	Formicidae	Pseudomyrmecinae	Muscidifurax
Mycetarotes parallelus	Hymenoptera	Formicidae	Myrmicinae	Mycetarotes
Mycetophylax morschi	Hymenoptera	Formicidae	Myrmicinae	Mycetophylax
Mycocepurus smithii	Hymenoptera	Formicidae	Myrmicinae	Mycocepurus
Myrmeleon bore	Neuroptera	Chrysopidae	Chrysopinae	Myrmeleon
Myzocallis asclepiadis	Hemiptera	Aphididae	Calaphidinae	Myzocallis
Myzus persicae	Hemiptera	Aphididae	Aphidinae	Myzus
Nasonia giraulti	Hymenoptera	Formicidae	Pseudomyrmecinae	Nasonia
Nasonia vitripennis	Hymenoptera	Pteromalidae	Pteromalinae	Nasonia
Nasutitermes corniger	Blattodea	Termitidae	Nasutitermitinae	Nasutitermes
Nasutitermes takasagoensis	Blattodea	Termitidae	Nasutitermitinae	Nasutitermes
Neoceratitis asiatica	Diptera	Tephritidae	Dacinae	Neoceratitis
Neohaematopinus pacificus	Phthiraptera	Polyplacidae	None	Neohaematopinus
Neohaemonia nigricornis	Coleoptera	Chrysomelidae	Donaciinae	Neohaemonia
Neolethaeus dallasi	Hemiptera	Rhyparochromidae	None	Neolethaeus
Neophilaenus campestris	Hemiptera	Aphrophoridae	None	Neophilaenus
Neotibicen canicularis	Hemiptera	Cicadidae	Cicadinae	Neotibicen
Neotropical butterflies	Lepidoptera	Pyralidae	Galleriinae	Neotropical
Nephotettix cincticeps	Hemiptera	Cicadellidae	Deltocephalinae	Nephotettix
Nezara viridula	Hemiptera	Pentatomidae	Pentatominae	Nezara
Nicrophorus concolor	Coleoptera	Silphidae	None	Nicrophorus
Nicrophorus vespilloides	Coleoptera	Silphidae	Nicrophorinae	Nicrophorus
Nilaparvata lugens	Hemiptera	Delphacidae	Delphacinae	Nilaparvata
Nosodendridae	Coleoptera	Nosodendridae	None	Nosodendridae
Notobitus meleagris	Hemiptera	Coreidae	None	Notobitus
Notosacantha	Coleoptera	Chrysomelidae	Cassidinae	Notosacantha
Novius pumilus	Coleoptera	Coccinellidae	Coccidulinae	Novius
Nycteribia kolenatii	Diptera	Nycteribiidae	Nycteribiinae	Nycteribia
Nysius plebeius	Hemiptera	Lygaeidae	Lygaeidae	Nysius
Nysius sp.	Hemiptera	Aleyrodidae	Aleyrodinae	Nysius
Octodonta nipae	Coleoptera	Chrysomelidae	Cassidinae	Octodonta
Odoiporus longicollis	Coleoptera	Curculionidae	Dryophthorinae	Odoiporus
Odontotaenius disjunctus	Coleoptera	Passalidae	None	Odontotaenius
Odontotermes formosanus	Blattodea	Termitidae	Macrotermitinae	Odontotermes
Odontotermes obesus	Blattodea	Termitidae	Macrotermitinae	Odontotermes
Odontotermes yunnanensis	Blattodea	Termitidae	Macrotermitinae	Odontotermes
Oecophylla smaragdina	Hymenoptera	Formicidae	Formicinae	Oecophylla
Oligia apameoides	Lepidoptera	Pyralidae	Galleriinae	Oligia
Ommatissus lybicus	Hemiptera	Tropiduchidae	None	Ommatissus
Oncopeltus nigriceps	Hemiptera	Lygaeidae	Lygaeidae	Oncopeltus
Onthophagus taurus	Coleoptera	Scarabaeidae	Scarabaeinae	Onthophagus
Oomyzus scaposus	Hymenoptera	Eulophidae	Tetrastichinae	Oomyzus
Oreina cacaliae	Coleoptera	Chrysomelidae	Chrysomelinae	Oreina
Orseolia oryzae	Diptera	Cecidomyiidae	Cecidomyiinae	Orseolia
Oryctes agamemnon	Coleoptera	Scarabaeidae	Dynastinae	Oryctes
Oryctes rhinoceros	Coleoptera	Scarabaeidae	Dynastinae	Oryctes
Oryzaephilus surinamensis	Coleoptera	Silvanidae	Silvaninae	Oryzaephilus
Osmia bicornis	Hymenoptera	Megachile	Megachilinae	Osmia
Osmia cornifrons	Hymenoptera	Megachilidae	Megachilinae	Osmia
Osmia excavata	Hymenoptera	Megachilidae	Megachilinae	Osmia
Osphranteria coerulescens	Coleoptera	None	None	Osphranteria
Ostrinia furnacalis	Lepidoptera	Pyralidae	Galleriinae	Ostrinia
Ostrinia nubilalis	Lepidoptera	Crambidae	Pyraustinae	Ostrinia
Ostrinia zaguliaevi	Lepidoptera	Crambidae	Pyraustinae	Ostrinia
Otiorhynchus sulcatus	Coleoptera	Curculionidae	Entiminae	Otiorhynchus
Oulema melanopus	Coleoptera	Chrysomelidae	Criocerinae	Oulema
Oxypoda opaca	Coleoptera	Staphylinidae	Aleocharinae	Oxypoda
Pachybrachius luridus	Hemiptera	Rhyparochromidae	Rhyparochromidae	Pachybrachius
Pachycrepoideus vindemmiae	Hymenoptera	Pteromalidae	Pteromalinae	Pachycrepoideus
Pachygrontha antennata	Hemiptera	Pachygronthidae	None	Pachygrontha
Pachyrhynchus infernalis	Coleoptera	Curculionidae	Entiminae	Pachyrhynchus
Pachysoma endroedyi	Coleoptera	Scarabaeidae	Scarabaeinae	Pachysoma
Paederus fuscipes	Coleoptera	Staphylinidae	Paederinae	Paederus
Pagiophloeus tsushimanus	Coleoptera	Curculionidae	Molytinae	Pagiophloeus
Palomena viridissima	Hemiptera	Pentatomidae	Pentatominae	Palomena
Panaorus japonicus	Hemiptera	Rhyparochromidae	None	Panaorus
Panesthiinae	Blattodea	Blaberidae	Panesthiinae	Panesthiinae
Pangorus albomaculatus	Hemiptera	Rhyparochromidae	None	Pangorus
Paracoccus marginatus	Hemiptera	Aleyrodidae	Aleyrodinae	Paracoccus
Paradasynus spinosus	Hemiptera	Coreidae	None	Paradasynus
Paraeucosmetus pallicornis	Hemiptera	Rhyparochromidae	None	Paraeucosmetus
Paraplesius unicolor	Hemiptera	Alydidae	None	Paraplesius
Parashaeria boleiriana	Coleoptera	Scarabaeidae	Scarabaeinae	Parashaeria
Parastrachia japonensis	Hemiptera	Parastrachiidae	None	Parastrachia
Paratrechina longicornis	Hymenoptera	Formicidae	Formicinae	Paratrechina
Paromius exiguus	Hemiptera	Rhyparochromidae	None	Paromius
Pediculus humanus humanus	Phthiraptera	Pediculidae	None	Pediculus
Pelidnota luridipes	Coleoptera	Scarabaeidae	Rutelinae	Pelidnota
Pemphigus yunnanensis	Hemiptera	Aphididae	Eriosomatinae	Pemphigus
Penicillidia jenynsii	Diptera	Nycteribiidae	Nycteribiinae	Penicillidia
Penicillidia monoceros	Diptera	Nycteribiidae	Nycteribiinae	Penicillidia
Pentalonia nigronervosa	Hemiptera	Aphididae	Aphidinae	Pentalonia
Pentatomomorpha	Hemiptera	None	None	Pentatomomorpha
Peregrinus maidis	Hemiptera	Aleyrodidae	Aleyrodinae	Peregrinus
Periphyllus lyropictus	Hemiptera	Aphididae	Chaitophorinae	Periphyllus
Periplaneta americana	Blattodea	Blattidae	Blattinae	Periplaneta
Periplaneta fuliginosa	Blattodea	Blattidae	Blattinae	Periplaneta
Periplaneta japonica	Blattodea	Blattidae	Blattinae	Periplaneta
Pharaxonotha floridana	Coleoptera	Erotylidae	Pharaxonothinae	Pharaxonotha
Phenacoccus peruvianus	Hemiptera	Pseudococcidae	None	Phenacoccus
Phenacoccus solenopsis	Hemiptera	Pseudococcidae	None	Phenacoccus
Philaenus signatus	Hemiptera	Aphrophoridae	None	Philaenus
Philaenus spumarius	Hemiptera	Aphrophoridae	None	Philaenus
Philanthinus quattuordecimpunctatus	Hymenoptera	Crabronidae	Philanthinae	Philanthinus
Philanthus triangulum	Hymenoptera	Crabronidae	Philanthinae	Philanthus
Philanus spumarius	Hemiptera	Aphrophoridae	None	Philanus
Phlebotomus papatasi	Diptera	Psychodidae	Phlebotominae	Phlebotomus
Phormia regina	Diptera	Calliphoridae	Chrysomyinae	Phormia
Photuris versicolor	Coleoptera	Lampyridae	Photurinae	Photuris
Phthorimaea operculella	Lepidoptera	Gelechiidae	Gelechiinae	Phthorimaea
Phyllonorycter blancardella	Lepidoptera	Gracillariidae	Lithocolletinae	Phyllonorycter
Phyllonorycter mespilella	Lepidoptera	Gracillariidae	Lithocolletinae	Phyllonorycter
Physopelta gutta	Hemiptera	Largidae	None	Physopelta
Pieris brassicae	Lepidoptera	Pyralidae	Galleriinae	Pieris
Pieris canidia	Lepidoptera	Pieridae	Pierinae	Pieris
Pieris rapae	Lepidoptera	Pyralidae	Galleriinae	Pieris
Piezodorus guildinii	Hemiptera	Pentatomidae	Pentatominae	Piezodorus
Pimelocerus perforatus	Coleoptera	Curculionidae	Molytinae	Pimelocerus
Pineus strobi	Hemiptera	Adelgidae	None	Pineus
Piocoris varius	Hemiptera	Lygaeidae	Geocoridae	Piocoris
Plagiodera versicolora	Coleoptera	Chrysomelidae	Chrysomelinae	Plagiodera
Planococcus citri	Hemiptera	Pseudococcidae	None	Planococcus
Planococcus ficus	Hemiptera	Pseudococcidae	None	Planococcus
Plateumaris braccata	Coleoptera	Chrysomelidae	Donaciinae	Plateumaris
Plateumaris consimilis	Coleoptera	Chrysomelidae	Donaciinae	Plateumaris
Plateumaris pusilla	Coleoptera	Chrysomelidae	Donaciinae	Plateumaris
Plateumaris rustica	Coleoptera	Chrysomelidae	Donaciinae	Plateumaris
Plateumaris sericea	Coleoptera	Chrysomelidae	Donaciinae	Plateumaris
Platygerris assimetricus	Hemiptera	Gerridae	None	Platygerris
Platypleura kaempferi	Hemiptera	Cicadidae	Cicadinae	Platypleura
Platypus cylindrus	Coleoptera	Curculionidae	None	Platypus
Platypus koryoensis	Coleoptera	Curculionidae	None	Platypus
Platyusa sonomae	Coleoptera	Staphylinidae	Aleocharinae	Platyusa
Plautia stali	Hemiptera	Pentatomidae	Pentatominae	Plautia
Plinachtus basalis	Hemiptera	Coreidae	None	Plinachtus
Plinachtus bicoloripes	Hemiptera	Coreidae	None	Plinachtus
Plodia interpunctella	Lepidoptera	Pyralidae	Phycitinae	Plodia
Plutella xylostella	Lepidoptera	Plutellidae	None	Plutella
Pnigalio soemius	Hymenoptera	Eulophidae	Eulophinae	Pnigalio
Polionemobius taprobanensis	Orthoptera	Trigonidiidae	Nemobiinae	Polionemobius
Polybia plebeja	Hymenoptera	Vespidae	Polistinae	Polybia
Polygraphus proximus	Coleoptera	Bostrichidae	Lyctinae	Polygraphus
Polyommatus bellargus	Lepidoptera	Lycaenidae	Polyommatinae	Polyommatus
Polyplax serrata	Phthiraptera	Polyplacidae	None	Polyplax
Potamobates horvathi	Hemiptera	Gerridae	None	Potamobates
Potamobates tridentatus	Hemiptera	Gerridae	None	Potamobates
Prays oleae	Lepidoptera	Praydidae	None	Prays
Prosimulium fungiforme	Diptera	Simuliidae	Simuliinae	Prosimulium
Protaetia brevitarsis	Coleoptera	Bostrichidae	Lyctinae	Protaetia
Psammotermes hypostoma	Blattodea	Rhinotermitidae	Psammotermitinae	Psammotermes
Pseudococcus longispinus	Hemiptera	Pseudococcidae	None	Pseudococcus
Pseudolynchia canariensis	Diptera	Hippoboscidae	Ornithomyinae	Pseudolynchia
Pseudomimeciton antennatum	Coleoptera	Staphylinidae	Aleocharinae	Pseudomimeciton
Pseudomyrmex ferrugineus	Hymenoptera	Formicidae	Pseudomyrmecinae	Pseudomyrmex
Pseudomyrmex gracilis	Hymenoptera	Formicidae	Pseudomyrmecinae	Pseudomyrmex
Pseudoophonus rufipes	Coleoptera	Carabidae	Harpalinae	Pseudoophonus
Pseudoregma bambucicola	Hemiptera	Hormaphididae	None	Pseudoregma
Psilothrix viridicoerulea	Coleoptera	Melyridae	Dasytinae	Psilothrix
Psylliodes attenuata	Coleoptera	Chrysomelidae	Galerucinae	Psylliodes
Psylliodes chrysocephala	Coleoptera	Chrysomelidae	Galerucinae	Psylliodes
Purohita taiwanensis	Hemiptera	Aleyrodidae	Aleyrodinae	Purohita
Puto superbus	Hemiptera	Pseudococcidae	None	Puto
Pycna repanda	Coleoptera	Cicadidae	Cicadinae	Pycna
Pylorgus colon	Hemiptera	Lygaeidae	Lygaeidae	Pylorgus
Pyractomena borealis	Coleoptera	Lampyridae	Lampyrinae	Pyractomena
Pyrrhocoris apterus	Hemiptera	Pyrrhocoridae	None	Pyrrhocoris
Recilia dorsalis	Hemiptera	Aleyrodidae	Aleyrodinae	Recilia
Reticulitermes flaviceps	Blattodea	Rhinotermitidae	Heterotermitinae	Reticulitermes
Reticulitermes flavipes	Blattodea	Rhinotermitidae	Heterotermitinae	Reticulitermes
Rhabdoscelus lineaticollis	Coleoptera	Curculionidae	Dryophthorinae	Rhabdoscelus
Rhagoletis cerasi	Diptera	Tephritidae	Trypetinae	Rhagoletis
Rhagoletis pomonella	Diptera	Tephritidae	Trypetinae	Rhagoletis
Rheumatobates bergrothi	Hemiptera	Gerridae	None	Rheumatobates
Rheumatobates mangrovensis	Hemiptera	Gerridae	Rhagadotarsinae	Rheumatobates
Rheumatobates ornatus	Hemiptera	Gerridae	None	Rheumatobates
Rhizoecus albidus	Hemiptera	Pseudococcidae	None	Rhizoecus
Rhodnius prolixus	Hemiptera	Reduviidae	Triatominae	Rhodnius
Rhopalosiphum maidis	Hemiptera	Aphididae	Aphidinae	Rhopalosiphum
Rhopalosiphum padi	Hemiptera	Aphididae	Aphidinae	Rhopalosiphum
Rhopalotria slossonae	Coleoptera	Belidae	Oxycoryninae	Rhopalotria
Rhynchophorus ferrugineus	Coleoptera	Curculionidae	Dryophthorinae	Rhynchophorus
Rhyzopertha dominica	Coleoptera	Bostrichidae	Dinoderinae	Rhyzopertha
Riptortus clavatu	Hemiptera	Coreidae	None	Riptortus
Riptortus clavatus	Hemiptera	Alydidae	None	Riptortus
Riptortus linearis	Hemiptera	Alydidae	None	Riptortus
Riptortus pedestris	Hemiptera	Aleyrodidae	Aleyrodinae	Riptortus
Russelliana capsici	Hemiptera	Psyllidae	Aphalaroidinae	Russelliana
Samia cynthia	Lepidoptera	Pyralidae	Galleriinae	Samia
Samia ricini	Lepidoptera	Saturniidae	Saturniinae	Samia
Saturniidae	Lepidoptera	Saturniidae	None	Saturniidae
Scaphoideus titanus	Hemiptera	Cicadellidae	Deltocephalinae	Scaphoideus
Scaptomyza nigrita	Diptera	Glossinidae	None	Scaptomyza
Scaptotrigona depilis	Hymenoptera	Apidae	Apinae	Scaptotrigona
Sceliphron caementarium	Hymenoptera	Sphecidae	Sceliphrinae	Sceliphron
Sceptobius lativentris	Coleoptera	Staphylinidae	Aleocharinae	Sceptobius
Schistocerca gregaria	Orthoptera	Acrididae	Cyrtacanthacridinae	Schistocerca
Schlechtendalia chinensis	Hemiptera	Aphididae	Eriosomatinae	Schlechtendalia
Scirpophaga incertulas	Lepidoptera	Crambidae	Schoenobiinae	Scirpophaga
Sesamia inferens	Lepidoptera	Noctuidae	Amphipyrinae	Sesamia
Shelfordella lateralis	Blattodea	Blattidae	Blattinae	Shelfordella
Sigaus australis	Orthoptera	Anostostomatidae	Deinacridinae	Sigaus
Simulium tani	Diptera	Simuliidae	Simuliinae	Simulium
Simulium vittatum	Diptera	Simuliidae	Simuliinae	Simulium
Sinodendron cylindricum	Coleoptera	Lucanidae	Syndesinae	Sinodendron
Sipalinus gigas	Coleoptera	Curculionidae	Dryophthorinae	Sipalinus
Sipha maydis	Hemiptera	Aphididae	Chaitophorinae	Sipha
Sirex juvencus	Hymenoptera	Formicidae	Pseudomyrmecinae	Sirex
Sirex nitobei	Hymenoptera	Siricidae	None	Sirex
Sirex noctilio	Hymenoptera	Siricidae	None	Sirex
Sitobion avenae	Hemiptera	Aphididae	Aphidinae	Sitobion
Sitobion miscanthi	Hemiptera	Aphididae	Aphidinae	Sitobion
Sitona obsoletus	Coleoptera	Curculionidae	Entiminae	Sitona
Sitophilus oryzae	Coleoptera	Curculionidae	Dryophthorinae	Sitophilus
Sitophilus sp.	Coleoptera	Curculionidae	Dryophthorinae	Sitophilus
Sitophilus zeamais	Coleoptera	Curculionidae	Dryophthorinae	Sitophilus
Sogatella furcifera	Hemiptera	Delphacidae	Delphacinae	Sogatella
Solenopsis invicta	Hymenoptera	Formicidae	Myrmicinae	Solenopsis
Spalangia cameroni	Hymenoptera	Pteromalidae	Spalangiinae	Spalangia
Sphingonotus mongolicus	Orthoptera	Anostostomatidae	Deinacridinae	Sphingonotus
Spilosoma obliqua	Lepidoptera	Pyralidae	Galleriinae	Spilosoma
Spilostethus hospes	Hemiptera	Lygaeidae	None	Spilostethus
Spodoptera exempta	Lepidoptera	Noctuidae	Amphipyrinae	Spodoptera
Spodoptera exigua	Lepidoptera	Noctuidae	Amphipyrinae	Spodoptera
Spodoptera frugiperda	Lepidoptera	Noctuidae	Amphipyrinae	Spodoptera
Spodoptera littoralis	Lepidoptera	Noctuidae	Amphipyrinae	Spodoptera
Spodoptera litura	Lepidoptera	Noctuidae	Amphipyrinae	Spodoptera
Stiretrus anchorago	Hemiptera	Pentatomidae	Asopinae	Stiretrus
Striacosta albicosta	Lepidoptera	Noctuidae	Noctuinae	Striacosta
Supella longipalpa	Blattodea	Ectobiidae	Plectopterinae	Supella
Synchalara rhombota	Lepidoptera	Xyloryctidae	None	Synchalara
Takecallis taiwana	Hemiptera	Aleyrodidae	Aleyrodinae	Takecallis
Tanna sp.	Hemiptera	Cicadidae	Cicadinae	Tanna
Teleogryllus emma	Orthoptera	Gryllidae	Gryllinae	Teleogryllus
Teleogryllus infernalis	Orthoptera	Gryllidae	Gryllinae	Teleogryllus
Teleogryllus mitratus	Orthoptera	Gryllidae	Gryllinae	Teleogryllus
Teleogryllus occipitalis	Orthoptera	Gryllidae	Gryllinae	Teleogryllus
Telmatometra withei	Hemiptera	Aleyrodidae	Aleyrodinae	Telmatometra
Temnothorax rugatulus	Hymenoptera	Formicidae	Myrmicinae	Temnothorax
Tenebrio molitor	Coleoptera	Tenebrionidae	Tenebrioninae	Tenebrio
Tenebrio sp.	Coleoptera	Tenebrionidae	Tenebrioninae	Tenebrio
Tenodera sinensis	Mantodea	Mantidae	Tenoderinae	Tenodera
Tessaratoma javanica	Hemiptera	Tessaratomidae	None	Tessaratoma
Tessaratoma papillosa	Hemiptera	Tessaratomidae	None	Tessaratoma
Tetragonisca angustula	Hymenoptera	Apidae	Apinae	Tetragonisca
Tetraponera binghami	Hymenoptera	Formicidae	Pseudomyrmecinae	Tetraponera
Tetrastichus epilachnae	Hymenoptera	Eulophidae	Tetrastichinae	Tetrastichus
Thasus neocalifornicus	Hemiptera	Coreidae	Coreinae	Thasus
Thaumetopoea pityocampa	Lepidoptera	Notodontidae	Thaumetopoeinae	Thaumetopoea
Thermobia domestica	Zygentoma	Lepismatidae	None	Thermobia
Thitarodes pui	Lepidoptera	Pyralidae	Galleriinae	Thitarodes
Thrips palmi	Thysanoptera	Thripidae	Thripinae	Thrips
Thrips tabaci	Thysanoptera	Thripidae	Thripinae	Thrips
Thunbergia sanguinaria	Hemiptera	Lygaeidae	Lygaeidae	Thunbergia
Tineola bisselliella	Lepidoptera	Tineidae	Tineinae	Tineola
Tituria angulata	Hemiptera	Cicadellidae	Ledrinae	Tituria
Togo hemipterus	Hemiptera	Rhyparochromidae	None	Togo
Trachymyrmex smithi	Hymenoptera	Formicidae	Myrmicinae	Trachymyrmex
Trachypus boharti	Hymenoptera	Crabronidae	Philanthinae	Trachypus
Trachypus denticollis	Hymenoptera	Crabronidae	Philanthinae	Trachypus
Tremex fuscicornis	Hymenoptera	Formicidae	Pseudomyrmecinae	Tremex
Trialeurodes sp.	Hemiptera	Aleyrodidae	Aleyrodinae	Trialeurodes
Trialeurodes vaporariorum	Hemiptera	Aleyrodidae	Aleyrodinae	Trialeurodes
Triatominae sp.	Hemiptera	Reduviidae	Triatominae	Triatominae
Tribolium castaneum	Coleoptera	Tenebrionidae	None	Tribolium
Tribolium confusum	Coleoptera	Tenebrionidae	None	Tribolium
Tribolium madens	Coleoptera	Tenebrionidae	None	Tribolium
Trichochermes walkeri	Hemiptera	Triozidae	None	Trichochermes
Trichogramma bourarachae	Hymenoptera	Trichogrammatidae	None	Trichogramma
Trichogramma brassicae	Hymenoptera	Trichogrammatidae	None	Trichogramma
Trichogramma chilonis	Hymenoptera	Trichogrammatidae	None	Trichogramma
Trichogramma pretiosum	Hymenoptera	Trichogrammatidae	None	Trichogramma
Trichoplusia ni	Lepidoptera	Pyralidae	Galleriinae	Trichoplusia
Trilophidia annulata	Orthoptera	Anostostomatidae	Deinacridinae	Trilophidia
Trionymus perrisii	Hemiptera	Aleyrodidae	Aleyrodinae	Trionymus
Tropidocephala brunnipennis	Hemiptera	Aleyrodidae	Aleyrodinae	Tropidocephala
Tropidothorax belogolowi	Hemiptera	Lygaeidae	Lygaeidae	Tropidothorax
Tuta absoluta	Lepidoptera	Gelechiidae	Gelechiinae	Tuta
Urocerus gigas	Hymenoptera	Formicidae	Pseudomyrmecinae	Urocerus
Urostylis annulicornis	Hemiptera	Urostylididae	None	Urostylis
Urostylis westwoodii	Hemiptera	Urostylididae	None	Urostylis
Velarifictorus aspersus	Orthoptera	Gryllidae	Gryllinae	Velarifictorus
Velarifictorus khasiensis	Orthoptera	Gryllidae	Gryllinae	Velarifictorus
Velarifictorus micado	Orthoptera	Gryllidae	Gryllinae	Velarifictorus
Vespa mandarinia	Hymenoptera	Vespidae	Vespinae	Vespa
Vespa simillima	Hymenoptera	Vespidae	Vespinae	Vespa
Vespa velutina	Hymenoptera	Vespidae	Vespinae	Vespa
Vespula penalica	Hymenoptera	Vespidae	Vespinae	Vespula
Walshia miscecolorella	Lepidoptera	Cosmopterigidae	Chrysopeleiinae	Walshia
Xenophyes cascus	Hemiptera	Peloridiidae	None	Xenophyes
Xyleborinus saxesenii	Coleoptera	Curculionidae	Scolytinae	Xyleborinus
Xyleborus affinis	Coleoptera	Curculionidae	Scolytinae	Xyleborus
Xyleborus glabratus	Coleoptera	Curculionidae	Scolytinae	Xyleborus
Xyleborus pubescens	Coleoptera	Culicidae	Curculioninae	Xyleborus
Xylocopa appendiculata	Hymenoptera	Apidae	Xylocopinae	Xylocopa
