ID	Title	Authors	doi	Journal	Publish Time	Species	Symbiont
2102	Population dynamics of migrant wheat aphids in China's main wheat production region and their interactions with bacterial symbionts	Li, T; Yang, GQ; Li, Q; Jiang, YL; Kang, DM; Fan, ZY; Gong, ZJ; Lu, RJ; Zhou, GT; Wu, YQ; Lu, CT	10.3389/fpls.2023.1103236	FRONTIERS IN PLANT SCIENCE	2023	None	None
2103	Candidatus Liberibacter asiaticus: An important factor affecting bacterial community composition and Wolbachia titers in Asian citrus psyllid	Jiang, RX; Shang, F; Jiang, HB; Dou, W; Cernava, T; Wang, JJ	10.3389/fmicb.2023.1109803	FRONTIERS IN MICROBIOLOGY	2023	None	None
2104	The Effect of Antibiotics on Bacteriome of Sitophilus oryzae and Rhyzopertha dominica as a Factor Determining the Success of Foraging: A Chance for Antibiotic Therapy in Grain Stores	Kosewska, O; Przemieniecki, SW; Nietupski, M	10.3390/app13031576	APPLIED SCIENCES-BASEL	2023	None	None
2105	The rhizosphere microbiome and host plant glucosinolates exhibit feedback cycles in Brassica rapa	DeWolf, E; Brock, MT; Calder, WJ; Kliebenstein, DJ; Katz, E; Li, BH; Morrison, HG; Maïgnien, L; Weinig, C	10.1111/mec.16782	MOLECULAR ECOLOGY	2023	None	None
2106	"Ectomosphere": Insects and Microorganism Interactions	Picciotti, U; Dalbon, VA; Ciancio, A; Colagiero, M; Cozzi, G; De Bellis, L; Finetti-Sialer, MM; Greco, D; Ippolito, A; Lahbib, N; Logrieco, AF; Lopez-Llorca, LV; Lopez-Moya, F; Luvisi, A; Mincuzzi, A; Molina-Acevedo, JP; Pazzani, C; Scortichini, M; Scrascia, M; Valenzano, D; Garganese, F; Porcelli, F	10.3390/microorganisms11020440	MICROORGANISMS	2023	None	None
2107	Nasonia-microbiome associations: a model for evolutionary hologenomics research	Zhu, ZY; Liu, YJ; Hu, HY; Wang, GH	10.1016/j.pt.2022.11.005	TRENDS IN PARASITOLOGY	2023	None	None
2108	Prairie Agroecosystems: Interconnected Microbiomes of Livestock, Soil and Insects	Liu, XJ; Floate, KD; Gorzelak, MA; Holman, DB; Hrycauk, S; Kubota, H; Lupwayi, N; Neilson, JAD; Polo, RO; Petri, RM; Tran, L; Wang, H; Wilches, D; Yang, XQ; Zorz, J; Guarna, MM	10.3390/agriculture13020326	AGRICULTURE-BASEL	2023	None	None
2109	Virulent and necrotrophic strategies of Bacillus thuringiensis in susceptible and resistant insects, Galleria mellonella	Grizanova, EV; Krytsyna, TI; Kalmykova, GV; Sokolova, E; Alikina, T; Kabilov, M; Coates, CJ; Dubovskiy, IM	10.1016/j.micpath.2022.105958	MICROBIAL PATHOGENESIS	2023	None	None
2110	Crosstalk between the microbiota and insect postembryonic development	Girard, M; Luis, P; Moro, CV; Minard, G	10.1016/j.tim.2022.08.013	TRENDS IN MICROBIOLOGY	2023	None	None
2111	Microbiome assembly and maintenance across the lifespan of bumble bee workers	Hammer, TJ; Easton-Calabria, A; Moran, NA	10.1111/mec.16769	MOLECULAR ECOLOGY	2023	None	None
2112	The Use of Probiotics during Rearing of Hermetia illucens: Potential, Caveats, and Knowledge Gaps	Gorrens, E; Lecocq, A; De Smet, J	10.3390/microorganisms11020245	MICROORGANISMS	2023	None	None
2113	Dung Beetle Activity Is Soil-Type-Dependent and Modulates Pasture Growth and Associated Soil Microbiome	Ma, L; Weeraratne, N; Gurusinghe, S; Aktar, J; Haque, KMS; Eberbach, P; Gurr, GG; Weston, LA	10.3390/agronomy13020325	AGRONOMY-BASEL	2023	None	None
2114	Insect diapause: from a rich history to an exciting future	Denlinger, DL	10.1242/jeb.245329	JOURNAL OF EXPERIMENTAL BIOLOGY	2023	None	None
2115	Cockroaches: a potential source of novel bioactive molecule(s) for the benefit of human health	Siddiqui, R; Elmashak, Y; Khan, NA	10.1007/s13355-022-00810-9	APPLIED ENTOMOLOGY AND ZOOLOGY	2023	None	None
2116	Scientists' warning on climate change and insects	Harvey, JA; Tougeron, K; Gols, R; Heinen, R; Abarca, M; Abram, PK; Basset, Y; Berg, M; Boggs, C; Brodeur, J; Cardoso, P; de Boer, JG; De Snoo, GR; Deacon, C; Dell, JE; Desneux, N; Dillon, ME; Duffy, GA; Dyer, LA; Ellers, J; Espíndola, A; Fordyce, J; Forister, ML; Fukushima, C; Gage, MJG; García-Robledo, C; Gely, C; Gobbi, M; Hallmann, C; Hance, T; Harte, J; Hochkirch, A; Hof, C; Hoffmann, AA; Kingsolver, JG; Lamarre, GPA; Laurance, WF; Lavandero, B; Leather, SR; Lehmann, P; Le Lann, C; López-Uribe, MM; Ma, CS; Ma, G; Moiroux, J; Monticelli, L; Nice, C; Ode, PJ; Pincebourde, S; Ripple, WJ; Rowe, M; Samways, MJ; Sentis, A; Shah, AA; Stork, N; Terblanche, JS; Thakur, MP; Thomas, MB; Tylianakis, JM; Van Baaren, J; Van de Pol, M; Van der Putten, WH; Van Dyck, H; Verberk, WCEP; Wagner, DL; Weisser, WW; Wetzel, WC; Woods, HA; Wyckhuys, KAG; Chown, SL	10.1002/ecm.1553	ECOLOGICAL MONOGRAPHS	2023	None	None
2117	Rhizobial diversity impacts soybean resistance, but not tolerance, to herbivory during drought	Komatsu, KJ; Esch, NL; Bloodworth, KJ; Burghardt, KT; McGurrin, K; Pullen, JD; Parker, JD	10.1016/j.baae.2022.12.004	BASIC AND APPLIED ECOLOGY	2023	None	None
2118	Competitive interactions in insect parasitoids: effects of microbial symbionts across tritrophic levels	Pekas, A; Tena, A; Peri, E; Colazza, S; Cusumano, A	10.1016/j.cois.2022.101001	CURRENT OPINION IN INSECT SCIENCE	2023	None	None
2119	Opisthorchis viverrini, Clonorchis sinensis and Opisthorchis felineus liver flukes affect mammalian host microbiome in a species-specific manner	Pakharukova, MY; Lishai, EA; Zaparina, O; Baginskaya, NV; Hong, SJ; Sripa, B; Mordvinov, VA	10.1371/journal.pntd.0011111	PLOS NEGLECTED TROPICAL DISEASES	2023	None	None
2120	BdNub Is Essential for Maintaining gut Immunity and Microbiome Homeostasis in Bactrocera dorsalis	Gu, J; Zhang, P; Yao, ZC; Li, XX; Zhang, HY	10.3390/insects14020178	 	2023	None	None
2121	Enzyme Feed Additive with Arazyme Improve Growth Performance, Meat Quality, and Gut Microbiome of Pigs	Kim, JH; Ku, BH; Ko, GP; Kang, MJ; Son, KH; Bang, MA; Park, HY	10.3390/ani13030423	ANIMALS	2023	None	None
2122	Friend or Foe: Symbiotic Bacteria in Bactrocera dorsalis-Parasitoid Associations	Gwokyalya, R; Weldon, CW; Herren, JK; Gichuhi, J; Makhulu, EE; Ndlela, S; Mohamed, SA	10.3390/biology12020274	BIOLOGY-BASEL	2023	None	None
2123	The Adaptive Evolution in the Fall Armyworm Spodoptera frugiperda (Lepidoptera: Noctuidae) Revealed by the Diversity of Larval Gut Bacteria	Wang, YP; Liu, X; Yi, CY; Chen, XY; Liu, CH; Zhang, CC; Chen, QD; Chen, S; Liu, HL; Pu, DQ	10.3390/genes14020321	GENES	2023	None	None
2124	Beyond canonical models: why a broader understanding of Diptera-microbiota interactions is essential for vector-borne disease control	Arellano, AA; Sommer, AJ; Coon, KL	10.1007/s10682-022-10197-2	EVOLUTIONARY ECOLOGY	2023	None	None
2125	Function of Tryptophan 2,3-Dioxygenase in Monochamus alternatus Hope Revealed by RNA Interference	Sheng, LJ; Weng, XQ; Weng, MQ; Guo, YJ; Carballar-Lejarazú, R; Zhang, FP; Wu, SQ	10.3390/f14020215	FORESTS	2023	None	None
2126	Production of Escovopsis weberi (Ascomycota: Hypocreales) Mycelial Pellets and Their Effects on Leaf-Cutting Ant Fungal Gardens	Teodoro, TBP; Carolino, AT; Queiroz, RRD; Oliveira, PBD; Moreira, DDO; Silva, GA; Samuels, RI	10.3390/pathogens12020330	PATHOGENS	2023	None	None
2127	Migratory behaviour is positively associated with genetic diversity in butterflies	García-Berro, A; Talla, V; Vila, R; Wai, HK; Shipilina, D; Chan, KG; Pierce, NE; Backström, N; Talavera, G	10.1111/mec.16770	MOLECULAR ECOLOGY	2023	None	None
2128	Quantitation and Distribution of Epichloe-Derived Alkaloids in Perennial Ryegrass Tissues	Vassiliadis, S; Reddy, P; Hemsworth, J; Spangenberg, GC; Guthridge, KM; Rochfort, SJ	10.3390/metabo13020205	METABOLITES	2023	None	None
2129	Impact of Nesting Mode, Diet, and Taxonomy in Structuring the Associated Microbial Communities of Amazonian Ants	Chanson, A; Moreau, CS; Duplais, C	10.3390/d15020126	DIVERSITY-BASEL	2023	None	None
2130	Characteristics of Microbiota in Different Segments of the Digestive Tract of Lycodon rufozonatus	Shang, YQ; Zhong, HM; Liu, G; Wang, XB; Wu, XY; Wei, QG; Shi, LP; Zhang, HH	10.3390/ani13040731	ANIMALS	2023	None	None
2131	Symbiotic Bacteria System of Locusta migratoria Showed Antifungal Capabilities against Beauveria bassiana	Tan, SQ; Wei, HS; Camara, I; Jia, HR; Cao, KL; Shi, WP	10.3390/ijms24043138	INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES	2023	None	None
2132	The Impact of Permethrin and Cypermethrin on Plants, Soil Enzyme Activity, and Microbial Communities	Borowik, A; Wyszkowska, J; Zaborowska, M; Kucharski, J	10.3390/ijms24032892	INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES	2023	None	None
2133	Partner fidelity and environmental filtering preserve stage-specific turtle ant gut symbioses for over 40 million years	Hu, Y; D'Amelio, CL; Béchade, B; Cabuslay, CS; Lukasik, P; Sanders, JG; Price, S; Fanwick, E; Powell, S; Moreau, CS; Russell, JA	10.1002/ecm.1560	ECOLOGICAL MONOGRAPHS	2023	None	None
2134	Diversity and Regional Variation of Endosymbionts in the Green Peach Aphid, Myzus persicae (Sulzer)	Yang, Q; Umina, PA; Wei, SJ; Bass, C; Yu, WJ; Robinson, KL; Gill, A; Zhan, DW; Ward, SE; van Rooyen, A; Hoffmann, AA	10.3390/d15020206	DIVERSITY-BASEL	2023	None	None
2135	Herbarium specimens reveal herbivory patterns across the genus Cucurbita	Jenny, LA; Shapiro, LR; Davis, CC; Davies, TJ; Pierce, NE; Meineke, E	10.1002/ajb2.16126	AMERICAN JOURNAL OF BOTANY	2023	None	None
2136	An experimental, behavioral, and chemical analysis of food limitations in mutualistic Crematogaster ant symbionts inhabiting Macaranga host plants	Houadria, MYI; Barone, G; Fayle, TM; Schmitt, T; Konik, P; Feldhaar, H	10.1002/ece3.9760	ECOLOGY AND EVOLUTION	2023	None	None
2137	Evolutionary ecology of the bark beetles Ips typographus and Pityogenes chalcographus	Schebeck, M; Schopf, A; Ragland, GJ; Stauffer, C; Biedermann, PHW	10.1017/S0007485321000353	BULLETIN OF ENTOMOLOGICAL RESEARCH	2023	None	None
2138	Chronic Exposure to Polystyrene Microplastic Fragments Has No Effect on Honey Bee Survival, but Reduces Feeding Rate and Body Weight	Al Naggar, Y; Sayes, CM; Collom, C; Ayorinde, T; Qi, SZ; El-Seedi, HR; Paxton, RJ; Wang, K	10.3390/toxics11020100	TOXICS	2023	None	None
2139	Conifer-killing bark beetles locate fungal symbionts by detecting volatile fungal metabolites of host tree resin monoterpenes	Kandasamy, D; Zaman, R; Nakamura, Y; Zhao, T; Hartmann, H; Andersson, MN; Hammerbacher, A; Gershenzon, J	10.1371/journal.pbio.3001887	PLOS BIOLOGY	2023	None	None
2140	An aphid symbiont confers protection against a specialized RNA virus, another increases vulnerability to the same pathogen	Higashi, CHV; Nichols, WL; Chevignon, G; Patel, V; Allison, SE; Kim, KL; Strand, MR; Oliver, KM	10.1111/mec.16801	MOLECULAR ECOLOGY	2023	None	None
2141	The promise of probiotics in honeybee health and disease management	Abdi, K; Ben Said, M; Crotti, E; Masmoudi, AS; Cherif, A	10.1007/s00203-023-03416-z	ARCHIVES OF MICROBIOLOGY	2023	None	None
2142	The effect of ergosterol on the allogrooming behavior of termites in response to the entomopathogenic fungus Metarhizium anisopliae	Chen, Y; Zhao, CW; Zeng, WH; Wu, WJ; Zhang, SJ; Zhang, DD; Li, ZQ	10.1111/1744-7917.13055	INSECT SCIENCE	2023	None	None
2143	A novel biosensor-based method for the detection of p-nitrophenol in agricultural soil	Ma, Z; Li, YB; Lu, ZY; Pan, J; Li, M	10.1016/j.chemosphere.2022.137306	CHEMOSPHERE	2023	None	None
2144	Field Efficacy of Fluopyram Suspension Concentrate against Pine Wilt Disease and Its Distribution and Persistence in Pine Tree Tissues	Guo, YJ; Ma, JY; You, ZY; Weng, MQ; Carballar-Lejarazu, R; Jiao, WL; Wu, JQ; Hu, X; Wang, R; Zhang, FP; Wu, SQ	10.3390/f14020338	FORESTS	2023	None	None
2145	Microbial assemblages of Schisandraceae plants and the correlations between endophytic species and the accumulation of secondary metabolites	Qin, D; You, C; Lan, WY; Wang, YM; Yu, BH; Peng, YJ; Xu, JR; Dong, JY	10.1007/s11104-022-05729-2	PLANT AND SOIL	2023	None	None
2146	Correlation of microbiomes in "plant-insect-soil" ecosystem	Li, GM; Liu, P; Zhao, JH; Su, LYA; Zhao, MY; Jiang, ZJ; Zhao, Y; Yang, XP	10.3389/fmicb.2023.1088532	FRONTIERS IN MICROBIOLOGY	2023	None	None
2147	New insights into the coevolutionary history of termites and their gut flagellates: Description of Retractinympha glossotermitis gen. nov. sp. nov. (Retractinymphidae fam. nov.)	Radek, R; Platt, K; Öztas, D; Sobotnik, J; Sillam-Dussès, D; Hanus, R; Brune, A	10.3389/fevo.2023.1111484	FRONTIERS IN ECOLOGY AND EVOLUTION	2023	None	None
2148	Evaluating coevolution in a horizontally transmitted mutualism	Stoy, KS; Chavez, J; De Las Casas, V; Talla, V; Berasategui, A; Morran, LT; Gerardo, NM	10.1093/evolut/qpac009	EVOLUTION	2023	None	None
2149	Amendment of a thermophile-fermented compost to humus improves the growth of female larvae of the Hercules beetle Dynastes hercules (Coleoptera: scarabaeidae)	Asano, F; Tsuboi, A; Moriya, S; Kato, T; Tsuji, N; Nakaguma, T; Ohno, H; Miyamoto, H; Kodama, H	10.1093/jambio/lxac006	JOURNAL OF APPLIED MICROBIOLOGY	2023	None	None
2150	A high-throughput sequencing survey characterizing European foulbrood disease and Varroosis in honey bees	Anderson, KE; Copeland, DC; Erickson, RJ; Floyd, AS; Maes, PC; Mott, BM	10.1038/s41598-023-28085-2	SCIENTIFIC REPORTS	2023	None	None
2151	Protein feeding mediates sex pheromone biosynthesis in an insect	Gui, SY; Yuval, B; Engl, T; Lu, YY; Cheng, DF	10.7554/eLife.83469	ELIFE	2023	None	None
2152	8-HQA adjusts the number and diversity of bacteria in the gut microbiome of Spodoptera littoralis	Mazumdar, T; Haenniger, S; Shukla, SP; Murali, A; Bartram, S; Heckel, DG; Boland, W	10.3389/fmicb.2023.1075557	FRONTIERS IN MICROBIOLOGY	2023	None	None
2153	Metabolic relay gene of aphid and primary symbiont as RNAi target loci for aphid control	Li, Q; Cheng, Y; Fan, J; Chen, JL	10.3389/fpls.2022.1092638	FRONTIERS IN PLANT SCIENCE	2023	None	None
2154	Symbiotic Fungi Associated With Xyleborine Ambrosia Beetles (Coleoptera: Curculionidae: Scolytinae) and the Imperative of Global Collaboration	Osborn, RK; Castro, J; Duong, TA; Hulcr, J; Li, Y; Martínez, M; Cognato, A	10.1093/aesa/saac024	ANNALS OF THE ENTOMOLOGICAL SOCIETY OF AMERICA	2023	None	None
2155	RETRACTED: Symbiotic Association Between Ants and Fungus (Retracted article. See MAR, 2023)	Riaz, S; Farooq, F; Manzoor, F	10.1093/aesa/saac019	ANNALS OF THE ENTOMOLOGICAL SOCIETY OF AMERICA	2023	None	None
2156	Arbuscular mycorrhizal fungus alleviates anthracnose disease in tea seedlings	Chen, WL; Ye, T; Sun, QY; Niu, TT; Zhang, JX	10.3389/fpls.2022.1058092	FRONTIERS IN PLANT SCIENCE	2023	None	None
2157	Can wood-feeding termites solve the environmental bottleneck caused by plastics? A critical state-of-the-art review	Al-Tohamy, R; Ali, SS; Zhang, M; Sameh, M; Zahoor; Mahmoud, YAG; Waleed, N; Okasha, KM; Sun, SRA; Sun, JZ	10.1016/j.jenvman.2022.116606	JOURNAL OF ENVIRONMENTAL MANAGEMENT	2023	None	None
2158	Comprehensive genome-wide identification and expression profiling of ADF gene family in Citrus sinensis, induced by endophytic colonization of Beauveria bassiana	Aguila, LCR; Moreano, JPS; Akutse, KS; Bamisile, BS; Liu, JX; Haider, FU; Ashraf, HJ; Wang, LD	10.1016/j.ijbiomac.2022.11.153	INTERNATIONAL JOURNAL OF BIOLOGICAL MACROMOLECULES	2023	None	None
2159	Transcription dynamics of heat-shock proteins (Hsps) and endosymbiont titres in response to thermal stress in whitefly, Bemisia tabaci (Asia-I)	Barman, M; Samanta, S; Ahmed, B; Dey, S; Chakraborty, S; Deeksha, MG; Dutta, S; Samanta, A; Tarafdar, J; Roy, D	10.3389/fphys.2022.1097459	FRONTIERS IN PHYSIOLOGY	2023	None	None
2160	Microbiome variation correlates with the insecticide susceptibility in different geographic strains of a significant agricultural pest, Nilaparvata lugens	Zhang, YH; Cai, TW; Yuan, MJ; Li, Z; Jin, RH; Ren, ZJ; Qin, Y; Yu, C; Cai, YF; Shu, RH; He, S; Li, JH; Wong, ACN; Wan, H	10.1038/s41522-023-00369-5	NPJ BIOFILMS AND MICROBIOMES	2023	None	None
2161	Transcriptomic and proteomic analyses provide insights into host adaptation of a bamboo-feeding aphid	Zhang, H; Lin, RX; Liu, Q; Lu, JJ; Qiao, GX; Huang, XL	10.3389/fpls.2022.1098751	FRONTIERS IN PLANT SCIENCE	2023	None	None
2162	Beehives possess their own distinct microbiomes	Santorelli, LA; Wilkinson, T; Abdulmalik, R; Rai, Y; Creevey, CJ; Huws, S; Gutierrez-Merino, J	10.1186/s40793-023-00460-6	ENVIRONMENTAL MICROBIOME	2023	None	None
2163	Solitary bee larvae modify bacterial diversity of pollen provisions in the stem-nesting bee, Osmia cornifrons (Megachilidae)	Kueneman, JG; Gillung, J; Van Dyke, MT; Fordyce, RF; Danforth, BN	10.3389/fmicb.2022.1057626	FRONTIERS IN MICROBIOLOGY	2023	None	None
2164	Epigenetic regulations as drivers of insecticide resistance and resilience to climate change in arthropod pests	Mogilicherla, K; Roy, A	10.3389/fgene.2022.1044980	FRONTIERS IN GENETICS	2023	None	None
2165	Staining and Scanning Protocol for Micro-Computed Tomography to Observe the Morphology of Soft Tissues in Ambrosia Beetles	Spahr, EJ; McLaughlin, SL; Tichinel, AM; Kasson, MT; Kijimoto, T	10.21769/BioProtoc.4584	BIO-PROTOCOL	2023	None	None
2166	Parasitoid-mediated horizontal transmission of Rickettsia between whiteflies	Liu, Y; He, ZQ; Wen, Q; Peng, J; Zhou, YT; Mandour, N; McKenzie, CL; Ahmed, MZ; Qiu, BL	10.3389/fcimb.2022.1077494	FRONTIERS IN CELLULAR AND INFECTION MICROBIOLOGY	2023	None	None
2167	Intercropping of Tagetes patula with cauliflower and carrot increases yield of cauliflower and tentatively reduces vegetable pests	Mrnka, L; Frantík, T; Schmidt, CS; Svecová, EB; Vosátka, M	10.1080/09670874.2020.1847355	INTERNATIONAL JOURNAL OF PEST MANAGEMENT	2023	None	None
2168	Studying Plant-Insect Interactions through the Analyses of the Diversity, Composition, and Functional Inference of Their Bacteriomes	Mayoral-Peña, Z; Lázaro-Vidal, V; Fornoni, J; Alvarez-Martínez, R; Garrido, E	10.3390/microorganisms11010040	MICROORGANISMS	2023	None	None
2169	COI Haplotyping and Comparative Microbiomics of the Peach Fruit Fly, an Emerging Pest of Egyptian Olive Orchards	Awad, M; Ben Gharsa, H; ElKraly, OA; Leclerque, A; Elnagdy, SM	10.3390/biology12010027	BIOLOGY-BASEL	2023	None	None
2170	Pest categorisation of Urocerus japonicus	EFSA Panel Plant Hlth PLH	10.2903/j.efsa.2023.7738	EFSA JOURNAL	2023	None	None
2171	Multiple S-Layer Proteins of Brevibacillus laterosporus as Virulence Factors against Insects	Ruiu, L	10.3390/ijms24021781	INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES	2023	None	None
2172	Honeybees affect floral microbiome composition in a central food source for wild pollinators in boreal ecosystems	Hietaranta, E; Juottonen, H; Kytöviita, MM	10.1007/s00442-022-05285-7	OECOLOGIA	2023	None	None
2173	Comparative analysis of gut microbiota and immune genes linked with the immune system of wild and captive Spodoptera frugiperda (Lepidoptera: Noctuidae)	Zheng, RW; Cheng, LL; Peng, J; Li, QQ; Yang, F; Yang, DH; Xia, YX; Tang, QF	10.1016/j.dci.2022.104530	DEVELOPMENTAL AND COMPARATIVE IMMUNOLOGY	2023	None	None
2174	Microbiome comparison of Dermanyssus gallinae populations from different farm rearing systems and the presence of common endosymbiotic bacteria at developmental stages	Koç, N; Nalbantoglu, S	10.1007/s00436-022-07721-2	PARASITOLOGY RESEARCH	2023	None	None
2175	A symbiosis between Euploea butterflies and yeasts	Lin, WR; Chang, YP; Wu, HL; Hsu, IC; Wang, PH	10.1007/s13199-022-00886-5	SYMBIOSIS	2023	None	None
2176	Silencing horizontally transferred genes for the control of the whitefly Bemisia tabaci	Wang, TY; Luan, JB	10.1007/s10340-022-01492-6	JOURNAL OF PEST SCIENCE	2023	None	None
2177	Uncovering Active Bacterial Symbionts in Three Species of Pollen-feeding Beetles (Nitidulidae: Meligethinae)	Mancini, E; Sabatelli, S; Hu, Y; Frasca, S; Di Giulio, A; Audisio, P; Brown, CD; Russell, JA; Trizzino, M	10.1007/s00248-022-01964-3	MICROBIAL ECOLOGY	2023	None	None
2178	Multitrophic Interactions Between Arbuscular Mycorrhizal Fungi, Foliar Endophytic Fungi and Aphids	Ab Razak, N; Gange, AC	10.1007/s00248-021-01937-y	MICROBIAL ECOLOGY	2023	None	None
2179	Chromosomal-level assembly of Bactericera cockerelli reveals rampant gene family expansions impacting genome structure, function and insect-microbe-plant-interactions	Kwak, Y; Argandona, JA; Degnan, PH; Hansen, AK	10.1111/1755-0998.13693	MOLECULAR ECOLOGY RESOURCES	2023	None	None
2180	Leaf UV-B Irradiation and Mycorrhizal Symbionts Affect Lettuce VOC Emissions and Defence Mechanisms, but Not Aphid Feeding Preferences	Zeni, V; Grassi, A; Santin, M; Ricciardi, R; Pieracci, Y; Flamini, G; Di Giovanni, F; Marmugi, M; Agnolucci, M; Avio, L; Turrini, A; Giovannetti, M; Castiglione, MR; Ranieri, A; Canale, A; Lucchi, A; Agathokleous, E; Benelli, G	10.3390/insects14010020	INSECTS	2023	None	None
2181	Diversity of endosymbiotic bacteria in the pea aphid (Acyrthosiphon pisum) on alfalfa in Chile	Zepeda-Paulo, F; Lavandero, B	10.4067/S0718-58392023000100063	CHILEAN JOURNAL OF AGRICULTURAL RESEARCH	2023	None	None
2182	Polyurethane Foam Residue Biodegradation through the Tenebrio molitor Digestive Tract: Microbial Communities and Enzymatic Activity	Orts, JM; Parrado, J; Pascual, JA; Orts, A; Cuartero, J; Tejada, M; Ros, M	10.3390/polym15010204	POLYMERS	2023	None	None
2183	Additive Effect of the Composition of Endophytic Bacteria Bacillus subtilis on Systemic Resistance of Wheat against Greenbug Aphid Schizaphis graminum Due to Lipopeptides	Rumyantsev, SD; Alekseev, VY; Sorokan, AV; Burkhanova, GF; Cherepanova, EA; Garafutdinov, RR; Maksimov, IV; Veselova, SV	10.3390/life13010214	LIFE-BASEL	2023	None	None
2184	Comparison of the co-occurrence patterns of the gut microbial community between Bt-susceptible and Bt-resistant strains of the rice stem borer, Chilo suppressalis	Chen, G; Li, QW; Yang, XW; Li, YH; Liu, WW; Chen, FJ; Han, LZ	10.1007/s10340-022-01512-5	JOURNAL OF PEST SCIENCE	2023	None	None
2185	Yeast mediates the interspecific interaction between introduced Bactrocera dorsalis and indigenous Bactrocera minax	Ren, XM; Yang, YS; Guo, RX; Wang, HR; Qi, XW; Cao, S; Lai, YN; Zhang, GJ; Niu, CY	10.1002/ps.7211	PEST MANAGEMENT SCIENCE	2023	None	None
2186	Soil inoculation of lodgepole pine seedlings alters root-associated fungal communities but does not improve seedling performance in beetle-killed pine stands	Wasyliw, J; Fellrath, EG; Pec, GJ; Cale, JA; Franklin, J; Thomasson, C; Erbilgin, N; Karst, J	10.1111/rec.13663	RESTORATION ECOLOGY	2023	None	None
2187	Insecticidal gel bait for the decimation of Ctenolepisma longicaudatum (Zygentoma: Lepismatidae) populations in libraries, museums, and archives	Rukke, BA; Querner, P; Hage, M; Steinert, M; Kaldager, M; Somhovd, A; Dominiak, P; Garrido, M; Hansson, T; Aak, A	10.1016/j.culher.2022.12.010	JOURNAL OF CULTURAL HERITAGE	2023	None	None
2188	Unraveling the Secrets of a Double-Life Fungus by Genomics: Ophiocordyceps australis CCMB661 Displays Molecular Machinery for Both Parasitic and Endophytic Lifestyles	de Menezes, TA; Aburjaile, FF; Quintanilha-Peixoto, G; Tomé, LMR; Fonseca, PLC; Mendes-Pereira, T; Araújo, DS; Melo, TS; Kato, RB; Delabie, JHC; Ribeiro, SP; Brenig, B; Azevedo, V; Drechsler-Santos, ER; Andrade, BS; Góes-Neto, A	10.3390/jof9010110	JOURNAL OF FUNGI	2023	None	None
2189	Biocontrol against Fusarium spp. in vanilla crop: A new study model	Franco-Galindo, LS; Mosquera-Espinosa, AT	10.21897/rta.v28i1.3350	TEMAS AGRARIOS	2023	None	None
2190	The gut microbiota, a key to understanding the health implications of micro(nano)plastics and their biodegradation	Jiménez-Arroyo, C; Tamargo, A; Molinero, N; Moreno-Arribas, MV	10.1111/1751-7915.14182	MICROBIAL BIOTECHNOLOGY	2023	None	None
2191	Temperature and metal ions regulate larval diapause termination via the 20-hydroxyecdysone and juvenile hormone pathways in Monochamus alternatus	Yang, MJ; Li, GQ; Yu, L; Du, SJ; Jiang, D; Chu, X; Wang, K; Wu, SQ; Wang, R; Zhang, FP; Hu, X	10.1002/ps.7212	PEST MANAGEMENT SCIENCE	2023	None	None
2192	Triclosan- resistant small- colony variants of Staphylococcus aureus produce less capsule, less phenol- soluble modulins, and are attenuated in a Galleria mellonella model of infection	Altwiley, D; Brignoli, T; Duggan, S; Massey, RC	10.1099/mic.0.001277	MICROBIOLOGY-SGM	2023	None	None
2193	UHPLC-MS/MS Analysis of the Accumulation and Excretion of Steroidal Glycoalkaloids Consumed by Potato Tuber Moth (Phthorimaea operculella) Larvae under Different Feeding Treatments	Li, YJ; Wang, Q; Xu, XY; Guo, HC	10.3390/insects14010026	INSECTS	2023	None	None
2194	Mikania sesquiterpene lactones enhance soil bacterial diversity and fungal and bacterial activities	Yu, HX; Le Roux, JJ; Zhao, MX; Li, WH	10.1007/s10530-022-02907-2	BIOLOGICAL INVASIONS	2023	None	None
2195	Unraveling different begomoviruses, DNA satellites and cryptic species of Bemisia tabaci and their endosymbionts in vegetable ecosystem	Venkataravanappa, V; Kodandaram, MH; Prasanna, HC; Reddy, MK; Reddy, CNL	10.1016/j.micpath.2022.105892	MICROBIAL PATHOGENESIS	2023	None	None
2196	Bacterial Diversity Associated with Anastrepha obliqua Males Change Under Mass-Rearing Conditions and with Irradiation	Roque-Romero, L; Guillen-Navarro, K; Zarza, E; Montoya, P; Liedo, P	10.1007/s00284-022-03111-0	CURRENT MICROBIOLOGY	2023	None	None
2197	The Intranidal Myrmecophiles of the Maltese Islands with Notes on Messor Nests as Repositories of Biodiversity	Cassar, T; Lapeva-Gjonova, A; Mifsud, D	10.3390/insects14010045	INSECTS	2023	None	None
2198	Assessment of Mound Soils Bacterial Community of the Red Imported Fire Ant, Solenopsis invicta across Guangdong Province of China	Bamisile, BS; Nie, L; Siddiqui, JA; Aguila, LCR; Akutse, KS; Jia, CS; Xu, YJ	10.3390/su15021350	SUSTAINABILITY	2023	None	None
